label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,eigenphase,abs_eigenvalue_minus_1,w_loc3,w_loc5,P0,ipr,overlap_weight
paper_max_T300,1.0471975511965976,0.3333333333333333,80,1,1,-2.9632131401403887,2.220446049250313e-15,0.9891819051810576,0.9986265492688684,0.3619705372085713,0.2681260244850824,0.27862696680213744
paper_max_T300,1.0471975511965976,0.3333333333333333,80,2,0,0.17837951344940164,2.220446049250313e-15,0.9891819051810578,0.9986265492688683,0.36197053720857086,0.2681260244850823,0.2786269668021365
paper_max_T300,1.0471975511965976,0.3333333333333333,80,3,2,-0.3913982268093267,2.6645352591003757e-15,0.9877695280431175,0.9965983161543839,0.24250429069770424,0.19821732391248387,0.002166529866993984
paper_max_T300,1.0471975511965976,0.3333333333333333,80,4,3,2.7501944267804666,1.9984014443252818e-15,0.9877695280431174,0.9965983161543838,0.242504290697704,0.19821732391248376,0.0021665298669940004
paper_max_T300,1.0471975511965976,0.3333333333333333,80,5,204,-0.7953489782760998,1.5543122344752192e-15,0.04515760696071864,0.0911008605607007,0.0005764593348674657,0.008598063037371897,0.0005222571807835328
paper_max_T300,1.0471975511965976,0.3333333333333333,80,6,222,-0.8137603503806521,7.327471962526033e-15,0.04934317345188207,0.09059477605203348,0.0010637546027752406,0.008778195780348247,0.0007476384994656727
paper_max_T300,1.0471975511965976,0.3333333333333333,80,7,12,-1.4984857294125953,1.1102230246251565e-16,0.06511869318405852,0.08912532982195484,0.011655498612345546,0.006372276175078927,0.007362455556296317
paper_max_T300,1.0471975511965976,0.3333333333333333,80,8,21,1.6207955896217747,1.5543122344752192e-15,0.06508918702257749,0.08905396686437624,0.011259558624971367,0.006363847769008101,0.007269935327196601
paper_max_T300,1.0471975511965976,0.3333333333333333,80,9,19,1.6653805399124384,6.661338147750939e-16,0.06473968545014464,0.08878214661664545,0.011900638552792506,0.006376736621228488,0.007381650680465137
paper_max_T300,1.0471975511965976,0.3333333333333333,80,10,10,-1.543141332711161,1.7763568394002505e-15,0.06466789673174042,0.08858031109633502,0.010734726216307585,0.006352255710198033,0.007106808917263625
paper_max_T300,1.0471975511965976,0.3333333333333333,80,11,14,-1.4539810603358767,5.551115123125783e-16,0.06395428114273984,0.08803435518315071,0.011979357145266755,0.006377020863027737,0.00732919926060246
paper_max_T300,1.0471975511965976,0.3333333333333333,80,12,23,1.5760792678770992,1.7763568394002505e-15,0.06388883315608118,0.08773864820223794,0.010107444432766037,0.006338742191011168,0.006879887156691862
paper_max_T300,1.0471975511965976,0.3333333333333333,120,1,0,0.1783795134494012,2.4424906541753444e-15,0.989181905181058,0.9986265492688685,0.36197053720857203,0.26812602448508266,0.2786269668021362
paper_max_T300,1.0471975511965976,0.3333333333333333,120,2,1,-2.9632131401403905,2.6645352591003757e-15,0.9891819051810579,0.9986265492688682,0.3619705372085721,0.26812602448508277,0.2786269668021362
paper_max_T300,1.0471975511965976,0.3333333333333333,120,3,3,-0.3913982268093227,0.0,0.9877695280431176,0.996598316154384,0.2425042906977058,0.19821732391248403,0.0021665298669939883
paper_max_T300,1.0471975511965976,0.3333333333333333,120,4,2,2.750194426780465,3.3306690738754696e-15,0.9877695280431174,0.9965983161543837,0.2425042906977053,0.19821732391248392,0.002166529866993936
paper_max_T300,1.0471975511965976,0.3333333333333333,120,5,20,1.663117834962906,1.1102230246251565e-15,0.04806599927886042,0.06414584196925165,0.009666614597407265,0.004269019992115946,0.004699429114419888
paper_max_T300,1.0471975511965976,0.3333333333333333,120,6,42,-1.4635678573026885,1.5543122344752192e-15,0.04801984355142265,0.06411073371581942,0.00984457257637424,0.004273347973784715,0.004687793929823476
paper_max_T300,1.0471975511965976,0.3333333333333333,120,7,34,-1.4934086780011164,5.10702591327572e-15,0.04801435750224654,0.06408497523036398,0.009450179785448858,0.004264052716824897,0.004694511272521231
paper_max_T300,1.0471975511965976,0.3333333333333333,120,8,22,1.6929018348596858,8.881784197001252e-15,0.0478680011758406,0.06397432195849836,0.00997848998167742,0.004276890038357659,0.004660380137975642
paper_max_T300,1.0471975511965976,0.3333333333333333,120,9,16,1.6332269000989994,4.884981308350689e-15,0.047872599105557856,0.06393330595840824,0.00920050376935089,0.004258597653572392,0.004672654748567797
paper_max_T300,1.0471975511965976,0.3333333333333333,120,10,60,-1.4338460143116547,4.3298697960381105e-15,0.04760241479091374,0.06373088320994609,0.010062530700566173,0.004279508613653464,0.004618341770842322
paper_max_T300,1.0471975511965976,0.3333333333333333,120,11,26,-1.5233417879547202,2.4424906541753444e-15,0.04764820037932157,0.0636961166616829,0.008922468248860936,0.004252808115251394,0.004633849792904071
paper_max_T300,1.0471975511965976,0.3333333333333333,120,12,14,1.6032606075670475,1.5543122344752192e-15,0.04734843995044178,0.06337902912813856,0.008620590005867157,0.0042468365607555465,0.004578433000922721
paper_max_T300,1.0471975511965976,0.3333333333333333,160,1,1,0.17837951344940695,3.552713678800501e-15,0.9891819051810578,0.9986265492688684,0.36197053720857136,0.2681260244850825,0.27862696680214366
paper_max_T300,1.0471975511965976,0.3333333333333333,160,2,0,-2.963213140140391,2.886579864025407e-15,0.9891819051810576,0.9986265492688682,0.36197053720857225,0.2681260244850826,0.2786269668021443
paper_max_T300,1.0471975511965976,0.3333333333333333,160,3,2,2.750194426780469,2.220446049250313e-15,0.9877695280431171,0.9965983161543838,0.24250429069770502,0.1982173239124838,0.002166529866994086
paper_max_T300,1.0471975511965976,0.3333333333333333,160,4,3,-0.39139822680932634,4.884981308350689e-15,0.9877695280431171,0.9965983161543837,0.2425042906977054,0.19821732391248392,0.0021665298669940962
paper_max_T300,1.0471975511965976,0.3333333333333333,160,5,389,-0.7993065282266509,1.1102230246251565e-15,0.023563140764839775,0.046445167283674725,0.00039496089014951554,0.004390560485689189,0.0003174497620647303
paper_max_T300,1.0471975511965976,0.3333333333333333,160,6,433,2.326986018449621,1.6653345369377348e-15,0.025067355062907016,0.045643646908233526,0.0004719115186555791,0.004336700617608284,0.0003620289176950172
paper_max_T300,1.0471975511965976,0.3333333333333333,160,7,97,1.795491118141518,1.7763568394002505e-15,0.03305237195090066,0.045502015765943836,0.007185943395725808,0.003202628456739256,0.0025689997075236683
paper_max_T300,1.0471975511965976,0.3333333333333333,160,8,47,-1.335227666939375,3.552713678800501e-15,0.03298583025101183,0.045476907833006695,0.00721247842786746,0.0032068094502751988,0.0025673920759600056
paper_max_T300,1.0471975511965976,0.3333333333333333,160,9,50,-1.3569985636116042,1.354472090042691e-14,0.03301091598736654,0.04542145309085129,0.00711174059557383,0.003197592979605227,0.002574190391181092
paper_max_T300,1.0471975511965976,0.3333333333333333,160,10,308,-0.7901072775705933,2.220446049250313e-16,0.02188522271550983,0.04533482816967139,0.0003270806925363777,0.004395621860841737,0.0002761839355619273
paper_max_T300,1.0471975511965976,0.3333333333333333,160,11,113,1.8172196731992427,7.105427357601002e-15,0.032790084882106114,0.04532352128409747,0.007181253187149416,0.003209815427005701,0.002569132716398706
paper_max_T300,1.0471975511965976,0.3333333333333333,160,12,96,1.7736699817182873,4.440892098500626e-15,0.03288379767491761,0.04525885775315529,0.007000253769328245,0.0031920385556401896,0.0025827096422058513
paper_max_T300,1.0471975511965976,0.3333333333333333,220,1,0,0.17837951344940534,3.774758283725532e-15,0.9891819051810576,0.9986265492688682,0.3619705372085704,0.26812602448508244,0.27862696680214405
paper_max_T300,1.0471975511965976,0.3333333333333333,220,2,1,-2.9632131401403905,3.6637359812630166e-15,0.9891819051810578,0.9986265492688682,0.36197053720857025,0.2681260244850824,0.27862696680214394
paper_max_T300,1.0471975511965976,0.3333333333333333,220,3,3,-0.3913982268093252,5.551115123125783e-15,0.9877695280431174,0.9965983161543839,0.24250429069770463,0.19821732391248395,0.002166529866994087
paper_max_T300,1.0471975511965976,0.3333333333333333,220,4,2,2.750194426780463,3.3306690738754696e-15,0.9877695280431175,0.9965983161543835,0.24250429069770446,0.1982173239124839,0.0021665298669940746
paper_max_T300,1.0471975511965976,0.3333333333333333,220,5,115,-1.4623423934384483,6.661338147750939e-16,0.026415248973805545,0.0352901335447488,0.005420384437760265,0.0023084204879212818,0.0025558463216830427
paper_max_T300,1.0471975511965976,0.3333333333333333,220,6,69,1.6874545881729197,2.1094237467877974e-15,0.026407509014332427,0.03528557344510727,0.005472430147286636,0.0023097469812019857,0.002560848355449406
paper_max_T300,1.0471975511965976,0.3333333333333333,220,7,66,1.6710368845632313,1.5543122344752192e-15,0.026395721428344145,0.03526831970883949,0.005357931787124141,0.002307003091213933,0.0025489046640620144
