policy,T,phi,phi_over_pi,adv_v,v_fit_A,v_fit_B,v_fit_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict_stage3,drift_stage3,pp_primary,pp_sensitivity
fixed,6000,0.9285151620609833,0.29555555555555557,0.16047158883915852,-0.05231722992156076,-0.052331126635995664,0.10815435891759777,0.579483674013146,0.5857178221085625,0.18717792147788073,1,1,0,0
scaled,6000,0.9288642279113821,0.29566666666666663,0.16047276588744006,-0.052320820207112845,-0.052279895479411455,0.1081928704080286,0.5794165367483124,0.5856502255845354,0.18722994090628517,1,1,0,0
