mask_name,policy,T,profile_index,phi,phi_over_pi,v_fit_A,v_fit_B,v_fit_ABB,margin_A_losing,margin_B_losing,margin_ABB_winning,margin_primary_transport,margin_sensitivity_transport,strict_stage3,drift_stage3,pp_primary,pp_sensitivity
pp_primary,fixed,3000,0,1.7328366249497134,0.5515790288628473,-0.05971002138389826,-0.011648369649530439,0.09132225775817913,0.050726512356524936,0.002664860622157112,0.08233874873080581,2.7235778745804406e-05,0.03405912468708759,1,1,1,1
pp_primary,fixed,3000,1,1.7354208571888807,0.5524016155327691,-0.059726320277617775,-0.01161555301169244,0.09071394907844112,0.05074281125024445,0.002632043984319113,0.08173044005106779,0.006204809286935203,0.041966425386948614,1,1,1,1
pp_primary,fixed,3000,2,1.7380050894280483,0.553224202202691,-0.059742532637188046,-0.01158296684607241,0.09012278181783864,0.05075902360981472,0.0025994578186990837,0.08113927279046532,0.010765093782858004,0.04791626843495761,1,1,1,1
pp_primary,fixed,3000,3,1.7405893216672157,0.5540467888726128,-0.059758657500537105,-0.011550611192078647,0.08955756913548689,0.05077514847316378,0.0025671021647053205,0.08057406010811356,0.013811505557094997,0.05199071717572998,1,1,1,1
pp_primary,fixed,3000,4,1.743173553906383,0.5548693755425347,-0.059774694589712414,-0.011518484531435391,0.08902232259383484,0.05079118556233909,0.0025349755040620647,0.08003881356646152,0.01557899888962612,0.054451182904533144,1,1,1,1
pp_primary,fixed,3000,5,1.7457577861455507,0.5556919622124566,-0.059790643199330785,-0.011486583779366297,0.08851745864891603,0.05080713417195746,0.0025030747519929706,0.0795339496215427,0.016350428699768257,0.05562626093567122,1,1,1,1
pp_primary,fixed,3000,6,1.748342018384718,0.5565145488823785,-0.05980650260849093,-0.01145490435417485,0.0880411198952294,0.0508229935811176,0.002471395326801523,0.07905761086785608,0.016376690715835293,0.055825331215631505,1,1,1,1
pp_primary,fixed,3000,7,1.7509262506238856,0.5573371355523004,-0.05982227253693659,-0.011423440527467776,0.08759045704800113,0.05083876350956326,0.0024399315000944496,0.0786069480206278,0.015849888605185658,0.055298970709799986,1,1,1,1
pp_primary,fixed,3000,8,1.753510482863053,0.5581597222222222,-0.059837951981043955,-0.011392185334819423,0.08716225905212192,0.05085444295367063,0.0024086763074460966,0.0781787500247486,0.014917265021579765,0.054236989121664816,1,1,1,1
pp_primary,fixed,3000,9,1.7560947151022204,0.5589823088921441,-0.059853540657673385,-0.011361131204524373,0.08675318484127918,0.05087003163030006,0.0023776221771510467,0.07776967581390586,0.013683787820888707,0.052774774006154185,1,1,1,1
pp_primary,fixed,3000,10,1.758678947341388,0.559804895562066,-0.05986903782270991,-0.011330269785394871,0.08636040164786038,0.05088552879533658,0.0023467607580215447,0.07737689262048705,0.012212302013880641,0.05100158171527623,1,1,1,1
pp_primary,fixed,3000,11,1.7612631795805553,0.5606274822319879,-0.0598844427410403,-0.01129959263297743,0.08598197280326744,0.050900933713666975,0.0023160836056041034,0.07699846377589412,0.010544666573022013,0.04897683653462222,1,1,1,1
