mask_name,policy,T,side,phi_root,phi_root_over_pi,scan_bracket_left,scan_bracket_right,sample_interval_left,sample_interval_right,interval_width,interval_width_over_pi,midpoint_phi,midpoint_phi_over_pi,strict_stage3_all_profile_points,drift_stage3_all_profile_points,pp_primary_all_profile_points,pp_sensitivity_all_profile_points
pp_primary,fixed,3000,left,1.7328209169864455,0.5515740288628472,1.732239282604372,1.7355117749518614,1.7355117749518614,1.7715091907742444,0.04137913175321506,0.013171386718749964,1.753510482863053,0.5581597222222222,1,1,1,1
pp_primary,fixed,3000,right,1.7742000487396605,0.5647454155815972,1.7715091907742444,1.7747816831217338,1.7355117749518614,1.7715091907742444,0.04137913175321506,0.013171386718749964,1.753510482863053,0.5581597222222222,1,1,1,1
pp_sensitivity,fixed,3000,left,1.7245757702515603,0.5489495171440973,1.722421805561904,1.7256942979093934,1.7256942979093934,1.7976891295541595,0.07429580282659431,0.023649088541666592,1.7617236716648574,0.5607740614149306,1,1,0,1
pp_sensitivity,fixed,3000,right,1.7988715730781546,0.5725986056857639,1.7976891295541595,1.8009616219016489,1.7256942979093934,1.7976891295541595,0.07429580282659431,0.023649088541666592,1.7617236716648574,0.5607740614149306,1,1,0,1
pp_primary,fixed,6000,left,1.733178845836952,0.5516879611545139,1.732239282604372,1.7355117749518614,1.7355117749518614,1.7715091907742444,0.04082945530422277,0.01299641927083332,1.7535935734890633,0.5581861707899305,1,1,1,1
pp_primary,fixed,6000,right,1.7740083011411747,0.5646843804253472,1.7715091907742444,1.7747816831217338,1.7355117749518614,1.7715091907742444,0.04082945530422277,0.01299641927083332,1.7535935734890633,0.5581861707899305,1,1,1,1
pp_sensitivity,fixed,6000,left,1.7251126635273202,0.5491204155815973,1.722421805561904,1.7256942979093934,1.7256942979093934,1.7976891295541595,0.07361829464527814,0.02343343098958325,1.7619218108499592,0.5608371310763889,1,1,0,1
pp_sensitivity,fixed,6000,right,1.7987309581725983,0.5725538465711806,1.7976891295541595,1.8009616219016489,1.7256942979093934,1.7976891295541595,0.07361829464527814,0.02343343098958325,1.7619218108499592,0.5608371310763889,1,1,0,1
pp_primary,scaled,3000,left,1.7324502049627062,0.5514560275607638,1.732239282604372,1.7355117749518614,1.7355117749518614,1.7715091907742444,0.041225733674426834,0.013122558593750073,1.7530630717999196,0.5580173068576388,1,1,1,1
pp_primary,scaled,3000,right,1.773675938637133,0.564578586154514,1.7715091907742444,1.7747816831217338,1.7355117749518614,1.7715091907742444,0.041225733674426834,0.013122558593750073,1.7530630717999196,0.5580173068576388,1,1,1,1
pp_sensitivity,scaled,3000,left,1.7255600745904534,0.5492628309461806,1.722421805561904,1.7256942979093934,1.7256942979093934,1.7976891295541595,0.07303026867658913,0.02324625651041674,1.762075208928748,0.560885959201389,1,1,0,1
pp_sensitivity,scaled,3000,right,1.7985903432670425,0.5725090874565973,1.7976891295541595,1.8009616219016489,1.7256942979093934,1.7976891295541595,0.07303026867658913,0.02324625651041674,1.762075208928748,0.560885959201389,1,1,0,1
pp_primary,scaled,6000,left,1.7335623410339231,0.5518100314670138,1.732239282604372,1.7355117749518614,1.7355117749518614,1.7715091907742444,0.04016473029613943,0.012784830729166792,1.7536447061819929,0.5582024468315973,1,1,1,1
pp_primary,scaled,6000,right,1.7737270713300626,0.5645948621961806,1.7715091907742444,1.7747816831217338,1.7355117749518614,1.7715091907742444,0.04016473029613943,0.012784830729166792,1.7536447061819929,0.5582024468315973,1,1,1,1
pp_sensitivity,scaled,6000,left,1.725547291417221,0.549258761935764,1.722421805561904,1.7256942979093934,1.7256942979093934,1.7976891295541595,0.07303026867658913,0.02324625651041674,1.7620624257555155,0.5608818901909722,1,1,0,1
pp_sensitivity,scaled,6000,right,1.79857756009381,0.5725050184461806,1.7976891295541595,1.8009616219016489,1.7256942979093934,1.7976891295541595,0.07303026867658913,0.02324625651041674,1.7620624257555155,0.5608818901909722,1,1,0,1
