label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6198,-331.87159395673757,-0.06579020510702266,0.5138312508589379,0.5514440888535967,0.31598311889396924
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6199,-331.92513970179607,-0.06579057959086021,0.5400234202178569,0.5564229416124868,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6200,-331.9786846679274,-0.0657906750107134,0.5138301140011682,0.5514432633116226,0.3159822494654566
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6201,-332.03222857996593,-0.06579075346001284,0.5400226185086417,0.5564224174172219,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6202,-332.0857716426756,-0.0657904905788943,0.513829924988416,0.5514431259159237,0.31598210498433754
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6203,-332.13931470519447,-0.06579040586848939,0.5400229827020208,0.556422655776269,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6204,-332.1928582311833,-0.06579016946637545,0.5138302953173168,0.5514433956666918,0.3159823877589888
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6205,-332.2464026291782,-0.06579030167236988,0.5400226279548617,0.5564224247232774,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6206,-332.299947305931,-0.06579030541357633,0.5138288043737954,0.5514423130949587,0.3159812474862916
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6207,-332.35349174214366,-0.065790413785484,0.540020650120123,0.5564211315748374,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6208,-332.40703534702493,-0.06579027039626562,0.5138265814780192,0.551440697473613,0.3159795482323499
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6209,-332.46057808308433,-0.06579001977278331,0.5400193605268376,0.5564202874490686,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6210,-332.51412040962816,-0.06578965130422376,0.5138261039566342,0.5514403497614024,0.3159791835339008
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6211,-332.5676630424887,-0.06578936739218721,0.5400194534340816,0.55642034787714,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6212,-332.62120644614754,-0.06578923219313704,0.5138260508211654,0.5514403112106541,0.3159791428876955
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6213,-332.67475068380895,-0.06578921186609377,0.5400187697674526,0.5564199009318975,0.0
