label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6324,-377.6139031763101,-0.07411605637638563,0.6169672676574675,0.6413985395220511,0.4185556230949745
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6325,-377.6736134920837,-0.07411612227078901,0.6350522039224341,0.6436253512199616,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6326,-377.73332192500243,-0.07411451014615023,0.6169670013248633,0.6413983835499291,0.41855537025969286
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6327,-377.7930302134707,-0.07411346202268798,0.6350522011437978,0.6436253496389723,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6328,-377.85273870737143,-0.07411252168048771,0.6169670490762829,0.6413984114578667,0.4185554156447708
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6329,-377.91244771470315,-0.07411103974297706,0.6350521201607867,0.6436253070641873,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6330,-377.9721589297891,-0.07411137089071113,0.6169667105072179,0.641398213456353,0.41855509402417934
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6331,-378.03187060990155,-0.07411030853213318,0.6350517312394968,0.6436251022350266,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6332,-378.09158468501664,-0.07411165952899273,0.6169662904823157,0.6413979675266133,0.4185546952506034
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6333,-378.1512986140765,-0.0741115824764893,0.6350516755605974,0.6436250725711862,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6334,-378.21101386778594,-0.07411307341202478,0.6169667748043551,0.6413982503649465,0.4185551556643687
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6335,-378.2707289972037,-0.07411402000249057,0.6350525163433671,0.6436255148720552,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6336,-378.330443996442,-0.07411476450236515,0.6169682242462187,0.6413990979989361,0.4185565325763513
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6337,-378.3901590704582,-0.07411623280923785,0.635053668562428,0.6436261215612894,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6338,-378.4498723629738,-0.07411585700447254,0.6169692523329083,0.6413996998100198,0.41855750872979336
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6339,-378.5095855599955,-0.07411701305913349,0.63505386105075,0.643626223525192,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6340,-378.5692963253156,-0.07411577908298561,0.6169685708592884,0.6413993019863987,0.4185568607952229
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6341,-378.62900695129247,-0.07411589068427027,0.6350526999110369,0.6436256128214806,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6342,-378.6887160650599,-0.07411448998503256,0.6169666899673174,0.6413982021023514,0.4185550739790078
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6343,-378.7484249453296,-0.07411341869963362,0.6350512894227133,0.6436248701443729,0.0
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6344,-378.8081338844647,-0.07411262663769269,0.6169654725780277,0.6413974895170318,0.41855391803129655
pp_primary_left_T6000,A,1.733178845836952,0.5516879611545139,6345,-378.86784257666443,-0.07411101033355072,0.6350510071424252,0.643624720899696,0.0
