region,policy,T,mask_name,interval_index,phi_left,phi_right,phi_left_over_pi,phi_right_over_pi,n_points,sampled_width,sampled_width_over_pi
max_region,fixed,1500,strict_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,fixed,1500,drift_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,fixed,3000,strict_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,fixed,3000,drift_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,scaled,1500,strict_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,scaled,1500,drift_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,scaled,3000,strict_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
max_region,scaled,3000,drift_stage3,0,0.8290313946973065,1.1780972450961724,0.2638888888888889,0.375,241,0.34906585039886595,0.11111111111111113
pp_region,fixed,1500,strict_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,fixed,1500,drift_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,fixed,1500,pp_primary,0,1.734420944169365,1.7747816831217338,0.5520833333333334,0.5649305555555555,38,0.0403607389523688,0.0128472222222222
pp_region,fixed,1500,pp_sensitivity,0,1.7246034671268968,1.7987799603366559,0.5489583333333333,0.5725694444444445,69,0.07417649320975905,0.023611111111111128
pp_region,fixed,3000,strict_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,fixed,3000,drift_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,fixed,3000,pp_primary,0,1.7333301133868686,1.7736908523392374,0.5517361111111111,0.5645833333333333,38,0.0403607389523688,0.0128472222222222
pp_region,fixed,3000,pp_sensitivity,0,1.7246034671268968,1.7987799603366559,0.5489583333333333,0.5725694444444445,69,0.07417649320975905,0.023611111111111128
pp_region,scaled,1500,strict_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,scaled,1500,drift_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,scaled,1500,pp_primary,0,1.732239282604372,1.772600021556741,0.5513888888888889,0.5642361111111112,38,0.040360738952369024,0.012847222222222272
pp_region,scaled,1500,pp_sensitivity,0,1.7246034671268968,1.7965982987716629,0.5489583333333333,0.571875,67,0.07199483164476606,0.022916666666666655
pp_region,scaled,3000,strict_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,scaled,3000,drift_stage3,0,1.6144295580947547,1.8762289458939043,0.5138888888888888,0.5972222222222222,241,0.2617993877991496,0.08333333333333338
pp_region,scaled,3000,pp_primary,0,1.7333301133868686,1.772600021556741,0.5517361111111111,0.5642361111111112,37,0.039269908169872414,0.0125
pp_region,scaled,3000,pp_sensitivity,0,1.7256942979093934,1.7976891295541595,0.5493055555555556,0.5722222222222223,67,0.07199483164476606,0.022916666666666655
borderline_drift_region,fixed,1500,strict_stage3,0,1.9198621771937625,2.011491962923465,0.6111111111111112,0.6402777777777778,85,0.09162978572970237,0.02916666666666669
borderline_drift_region,fixed,1500,drift_stage3,0,1.9198621771937625,2.011491962923465,0.6111111111111112,0.6402777777777778,85,0.09162978572970237,0.02916666666666669
borderline_drift_region,fixed,3000,strict_stage3,0,1.9198621771937625,2.011491962923465,0.6111111111111112,0.6402777777777778,85,0.09162978572970237,0.02916666666666669
borderline_drift_region,fixed,3000,drift_stage3,0,1.9198621771937625,2.011491962923465,0.6111111111111112,0.6402777777777778,85,0.09162978572970237,0.02916666666666669
borderline_drift_region,scaled,1500,strict_stage3,0,1.9198621771937625,2.0093103013584717,0.6111111111111112,0.6395833333333333,83,0.08944812416470915,0.02847222222222215
borderline_drift_region,scaled,1500,drift_stage3,0,1.9198621771937625,2.0093103013584717,0.6111111111111112,0.6395833333333333,83,0.08944812416470915,0.02847222222222215
borderline_drift_region,scaled,3000,strict_stage3,0,1.9198621771937625,2.0136736244884577,0.6111111111111112,0.6409722222222222,87,0.09381144729469515,0.029861111111111092
borderline_drift_region,scaled,3000,drift_stage3,0,1.9198621771937625,2.0136736244884577,0.6111111111111112,0.6409722222222222,87,0.09381144729469515,0.029861111111111092
