sequence,label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,eigenphase,abs_eigenvalue_minus_1,w_loc3,w_loc5,P0,ipr,overlap_weight
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,1,1,-2.9632131401403887,2.220446049250313e-15,0.9891819051810576,0.9986265492688684,0.3619705372085713,0.2681260244850824,0.27862696680213744
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,2,0,0.17837951344940164,2.220446049250313e-15,0.9891819051810578,0.9986265492688683,0.36197053720857086,0.2681260244850823,0.2786269668021365
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,3,2,-0.3913982268093267,2.6645352591003757e-15,0.9877695280431175,0.9965983161543839,0.24250429069770424,0.19821732391248387,0.002166529866993984
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,4,3,2.7501944267804666,1.9984014443252818e-15,0.9877695280431174,0.9965983161543838,0.242504290697704,0.19821732391248376,0.0021665298669940004
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,5,204,-0.7953489782760998,1.5543122344752192e-15,0.04515760696071864,0.0911008605607007,0.0005764593348674657,0.008598063037371897,0.0005222571807835328
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,6,222,-0.8137603503806521,7.327471962526033e-15,0.04934317345188207,0.09059477605203348,0.0010637546027752406,0.008778195780348247,0.0007476384994656727
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,7,12,-1.4984857294125953,1.1102230246251565e-16,0.06511869318405852,0.08912532982195484,0.011655498612345546,0.006372276175078927,0.007362455556296317
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,8,21,1.6207955896217747,1.5543122344752192e-15,0.06508918702257749,0.08905396686437624,0.011259558624971367,0.006363847769008101,0.007269935327196601
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,1,0,0.1783795134494012,2.4424906541753444e-15,0.989181905181058,0.9986265492688685,0.36197053720857203,0.26812602448508266,0.2786269668021362
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,2,1,-2.9632131401403905,2.6645352591003757e-15,0.9891819051810579,0.9986265492688682,0.3619705372085721,0.26812602448508277,0.2786269668021362
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,3,3,-0.3913982268093227,0.0,0.9877695280431176,0.996598316154384,0.2425042906977058,0.19821732391248403,0.0021665298669939883
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,4,2,2.750194426780465,3.3306690738754696e-15,0.9877695280431174,0.9965983161543837,0.2425042906977053,0.19821732391248392,0.002166529866993936
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,5,20,1.663117834962906,1.1102230246251565e-15,0.04806599927886042,0.06414584196925165,0.009666614597407265,0.004269019992115946,0.004699429114419888
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,6,42,-1.4635678573026885,1.5543122344752192e-15,0.04801984355142265,0.06411073371581942,0.00984457257637424,0.004273347973784715,0.004687793929823476
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,7,34,-1.4934086780011164,5.10702591327572e-15,0.04801435750224654,0.06408497523036398,0.009450179785448858,0.004264052716824897,0.004694511272521231
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,8,22,1.6929018348596858,8.881784197001252e-15,0.0478680011758406,0.06397432195849836,0.00997848998167742,0.004276890038357659,0.004660380137975642
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,1,1,0.17837951344940695,3.552713678800501e-15,0.9891819051810578,0.9986265492688684,0.36197053720857136,0.2681260244850825,0.27862696680214366
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,2,0,-2.963213140140391,2.886579864025407e-15,0.9891819051810576,0.9986265492688682,0.36197053720857225,0.2681260244850826,0.2786269668021443
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,3,2,2.750194426780469,2.220446049250313e-15,0.9877695280431171,0.9965983161543838,0.24250429069770502,0.1982173239124838,0.002166529866994086
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,4,3,-0.39139822680932634,4.884981308350689e-15,0.9877695280431171,0.9965983161543837,0.2425042906977054,0.19821732391248392,0.0021665298669940962
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,5,389,-0.7993065282266509,1.1102230246251565e-15,0.023563140764839775,0.046445167283674725,0.00039496089014951554,0.004390560485689189,0.0003174497620647303
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,6,433,2.326986018449621,1.6653345369377348e-15,0.025067355062907016,0.045643646908233526,0.0004719115186555791,0.004336700617608284,0.0003620289176950172
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,7,97,1.795491118141518,1.7763568394002505e-15,0.03305237195090066,0.045502015765943836,0.007185943395725808,0.003202628456739256,0.0025689997075236683
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,8,47,-1.335227666939375,3.552713678800501e-15,0.03298583025101183,0.045476907833006695,0.00721247842786746,0.0032068094502751988,0.0025673920759600056
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,1,1,0.09622373966947127,4.440892098500626e-16,0.9900695815566164,0.9987592031990422,0.3650348638756092,0.272194968524829,0.28920273927531126
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,2,0,-3.0453689139203197,4.440892098500626e-16,0.9900695815566164,0.9987592031990421,0.3650348638756084,0.2721949685248288,0.28920273927531065
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,3,3,-0.461186664719822,1.9984014443252818e-15,0.9837595426018254,0.9952693764121099,0.2257807728110849,0.18919209605142145,0.001071519518051576
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,4,2,2.6804059888699725,1.7763568394002505e-15,0.9837595426018251,0.9952693764121094,0.22578077281108574,0.18919209605142148,0.0010715195180515797
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,5,10,-1.5459613075179426,6.661338147750939e-16,0.06741332842583984,0.0913232308861123,0.012467785381285153,0.006391946115952498,0.007201175061860049
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,6,23,1.573327516234658,8.881784197001252e-16,0.06727668108055056,0.09111181696226331,0.012004032221579922,0.006386113133708413,0.0071631338175320285
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,7,25,1.6179366165294105,3.774758283725532e-15,0.06712526417079581,0.09109974050814422,0.012774758962524536,0.006393277534376842,0.007165223318888866
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,8,8,-1.5905649683852696,3.1086244689504383e-15,0.06671790911735835,0.09047027941664514,0.011401830548616538,0.006376454322115351,0.007049591243322727
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,120,1,0,0.09622373966947063,8.881784197001252e-16,0.9900695815566164,0.9987592031990422,0.3650348638756093,0.272194968524829,0.28920273927530843
