sequence,label,phi,phi_over_pi,L,topk_overlap_weight,diag_period_avg_w_loc3,diag_period_avg_w_loc5,diag_period_avg_P0,ring_direct_period_avg_w_loc3,ring_direct_period_avg_w_loc5,ring_direct_period_avg_P0,abs_diff_diag_vs_ring_w_loc3,abs_diff_diag_vs_ring_w_loc5,abs_diff_diag_vs_ring_P0,delta_from_prev_L_w_loc3,delta_from_prev_L_w_loc5,delta_from_prev_L_P0,prev_L
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,80,0.5774892799020039,0.5763951741458556,0.5939279776636553,0.17698331277703463,0.5754581206672501,0.5926676232909993,0.17680996520969786,0.0009370534786055096,0.0012603543726560362,0.00017334756733677903,nan,nan,nan,nan
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,120,0.5803291077930005,0.5691439227783005,0.5830695432057998,0.17610937655280812,0.5692349863904699,0.583040991087039,0.17618193051604022,9.106361216937309e-05,2.855211876084951e-05,7.255396323210817e-05,0.007251251367555112,0.010858434457855504,0.0008739362242265181,80
ABB,paper_max_T300,1.0471975511965976,0.3333333333333333,160,0.5674028638015195,0.5652340847072975,0.5773486871197729,0.1755934657172654,0.5652451060833025,0.577260379092854,0.17564795219084406,1.1021376004949346e-05,8.830802691894846e-05,5.448647357866876e-05,0.00390983807100298,0.005720856086026904,0.0005159108355427267,120
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,80,0.6091276410283287,0.5951115456179348,0.6118263847864205,0.1866562092413013,0.5941364880772438,0.610525099891461,0.18648879177884245,0.0009750575406909379,0.001301284894959509,0.00016741746245885203,nan,nan,nan,nan
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,120,0.5982541426098115,0.5880254290378203,0.6013059512674707,0.18579260314333698,0.5880992509365355,0.6012723520460784,0.18585083961054702,7.38218987151873e-05,3.359922139223315e-05,5.8236467210037723e-05,0.007086116580114488,0.010520433518949823,0.0008636060979643201,80
ABB,long_max_Tlast,0.9599310885968813,0.3055555555555556,160,0.5832998260949964,0.5842205093062223,0.5957722174484977,0.1852810840162015,0.5841406075305218,0.5955730559985323,0.1853042408653163,7.990177570049717e-05,0.00019916144996545704,2.3156849114802647e-05,0.003804919731598022,0.00553373381897293,0.0005115191271354846,120
ABB,pp_primary_long,1.7453292519943295,0.5555555555555556,80,0.1397365549210935,0.11715997269696769,0.14644945707374288,0.023442653121652852,0.11397531979937146,0.1420050143150336,0.02273879971983563,0.0031846528975962296,0.004444442758709283,0.0007038534018172227,nan,nan,nan,nan
ABB,pp_primary_long,1.7453292519943295,0.5555555555555556,120,0.12419620941405442,0.10402696549753654,0.12626516585979441,0.021422761210819683,0.0988236531755375,0.119434771523421,0.020421768520400785,0.00520331232199904,0.006830394336373419,0.0010009926904188983,0.013133007199431154,0.020184291213948463,0.0020198919108331687,80
ABB,pp_primary_long,1.7453292519943295,0.5555555555555556,160,0.12051164306293373,0.0975862197071858,0.1162439767944153,0.020438765633411432,0.09376100377565362,0.11090376435147925,0.019741238521332444,0.0038252159315321776,0.005340212442936046,0.0006975271120789883,0.006440745790350741,0.010021189065379119,0.000983995577408251,120
