label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,300,200,250,-0.05354750247179237,-0.05354435789014425,-0.05356210604430953,4.326521487546531e-06,-0.0657859347579508,-0.06582567642061438,0.5267821391450794,0.5538987082643939,0.15954889691664131,-16.06863181329286,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,600,200,250,-0.05354438981609455,-0.053544143587153606,-0.05355300489403524,1.3427671761837012e-05,-0.06578781944704439,-0.06581081640285164,0.5268862696915304,0.553921718159701,0.15838198594520436,-32.131802936421145,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,900,200,250,-0.053544229012378416,-0.053544144852435076,-0.05355000704543367,1.642552036341255e-05,-0.06578846463903468,-0.06580403017149627,0.5269020996934418,0.5539255653566874,0.15821415906069358,-48.1950063408903,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,1200,200,250,-0.053544178609253645,-0.05354413580105377,-0.05354851411277643,1.7918453020647485e-05,-0.06578878089534719,-0.06579933235412883,0.5269085664050634,0.553927188518374,0.1581469738233473,-64.25821693533172,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,1500,200,250,-0.05354415455974783,-0.053544128463260295,-0.05354762090519213,1.8811660604953206e-05,-0.06578896914818154,-0.06579568564478344,0.5269120907094975,0.5539280896139265,0.15811078819542115,-80.32143135778819,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,2000,200,250,-0.05354413442579137,-0.053544120291663035,-0.05354673821119934,1.9694354597740715e-05,-0.06578915806018319,-0.06579362836169417,0.5269153909787097,0.5539289482156812,0.15807728084854625,-107.09347642239868,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,3000,200,250,-0.05354411798362456,-0.05354411184749644,-0.053545849149700286,2.058341609679354e-05,-0.06578934787956503,-0.06578760534321892,0.5269184999810057,0.5539297753503705,0.15804617273582983,-160.63754744910085,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,4000,200,250,-0.053544111215686405,-0.05354410777825142,-0.0535454136172845,2.1018948512578628e-05,-0.06578944168515573,-0.0657886114279761,0.5269199888421189,0.5539301780377395,0.15803143954503374,-214.181654469138,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,5000,200,250,-0.05354410766157235,-0.053544105459005634,-0.05354515216587805,2.128039991902697e-05,-0.06578949379373758,-0.06578992779146586,0.5269208546101859,0.5539304110057278,0.1580228432920598,-267.72576082939025,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,6000,200,250,-0.05354410554076858,-0.05354410400705293,-0.05354497723946699,2.1455326330091506e-05,-0.06578952685221477,-0.06579048982673458,0.5269214146161206,0.5539305586024377,0.15801720772607236,-321.2698634368019,1
