region,phi_grid_index,phi,phi_over_pi,region_center_phi,region_center_phi_over_pi,region_halfwidth,region_halfwidth_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,v_fit2_A,v_fit2_B,v_fit2_ABB,v_T_A,v_T_B,v_T_ABB,delta_v_A,delta_v_B,delta_v_ABB,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,adv_v
max_region,0,0.8290313946973065,0.2638888888888889,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.05130176021249675,-0.07075098010244328,0.09642923414187637,-0.05130174838960208,-0.07074815297884637,0.09642897730388428,-0.05130887687348957,-0.07091294960544275,0.09641121623134673,3.4193676155043484e-05,0.0014090583899115244,0.0014843584395124593,0.326356193376557,0.39707674424934963,0.5960382261133759,0.6022002160066054,0.19618802435045574,1,1,1,1,1,1,1,0,0,0,0.14773099435437312
max_region,0,0.8290313946973065,0.2638888888888889,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.05130172243552514,-0.07077125391399072,0.09642985877694908,-0.051301719287810486,-0.07077117447033726,0.0964298173345364,-0.05130527785926766,-0.07085689297279274,0.09641352643268761,3.779269037695182e-05,0.001465115022561539,0.0014866686408533392,0.32634810822759386,0.38664322550900326,0.5960365639681733,0.6021960962747075,0.1961054590487333,1,1,1,1,1,1,1,0,0,0,0.1477315812124742
max_region,0,0.8290313946973065,0.2638888888888889,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,1500,1000,1250,-0.05130170086199928,-0.07076198563896592,0.09642392446878638,-0.051301676354116456,-0.07070304156200305,0.09640732379188428,-0.05130887687348957,-0.07091294960544275,0.09641121623134673,1.4401389305737644e-06,0.00022620131049592984,0.00030448842818009414,0.3262423922159863,0.39707674424934963,0.5960372045104951,0.6021924667032954,0.19651312536052526,1,1,1,1,1,1,1,0,0,0,0.14772562533078565
max_region,0,0.8290313946973065,0.2638888888888889,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,3000,2000,2500,-0.051301707797078905,-0.07078473137600537,0.09642878789105004,-0.051301707307391954,-0.07079114822501271,0.09642481147438349,-0.05130527785926766,-0.07085689297279274,0.09641352643268761,7.160376839163152e-07,0.0001276904339529844,0.000146303703077319,0.32646770643653533,0.38664322550900326,0.5960314283677497,0.602192115899513,0.1962293174420226,1,1,1,1,1,1,1,0,0,0,0.14773049568812896
max_region,1,0.8304858357406351,0.26435185185185184,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.05131643253899843,-0.07044313641150705,0.09661098648976897,-0.051316420585538945,-0.07044070926490109,0.09661077351720083,-0.05132352811602689,-0.07065153294796157,0.09659592531538456,3.393609159880323e-05,0.0013923137014263676,0.0014950017710584212,0.3269060477109335,0.4000154150084797,0.5958308204096869,0.6019919638356325,0.19607382446603216,1,1,1,1,1,1,1,0,0,0,0.1479274190287674
max_region,1,0.8304858357406351,0.26435185185185184,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.05131639480805756,-0.0704651784944149,0.09661154666288367,-0.051316391630373034,-0.07046523753104354,0.09661151261462629,-0.051319940182077535,-0.0705539821300396,0.0965978852743719,3.7524025548157924e-05,0.0014898645193483356,0.001496961730045751,0.3268814138552835,0.39132908171728653,0.5958293763606191,0.6019878764647342,0.19599205873901127,1,1,1,1,1,1,1,0,0,0,0.14792794147094124
max_region,1,0.8304858357406351,0.26435185185185184,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,1500,1000,1250,-0.051316377215259994,-0.07047139007374642,0.0966062827575025,-0.05131637628042739,-0.0704869633860296,0.09659135508640981,-0.05132352811602689,-0.07065153294796157,0.09659592531538456,1.432330196379783e-06,0.0002820342548823518,0.0003081170635245295,0.3267833573633689,0.4000154150084797,0.595829905547059,0.6019842978138137,0.1963985036276993,1,1,1,1,1,1,1,0,0,0,0.1479226599727625
max_region,1,0.8304858357406351,0.26435185185185184,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,3000,2000,2500,-0.051316380456663785,-0.07047929614808172,0.09661027607944618,-0.051316376513936966,-0.07050385121206466,0.09660521752965207,-0.051319940182077535,-0.0705539821300396,0.0965978852743719,7.100456064154659e-07,0.0001335074707957823,0.0001494746311493239,0.3269861621336071,0.39132908171728653,0.5958242186525127,0.6019838815700705,0.1961161946177111,1,1,1,1,1,1,1,0,0,0,0.14792665653610998
max_region,2,0.8319402767839637,0.2648148148148148,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.05133111110041842,-0.07013676741877105,0.09679247289448528,-0.05133109901372692,-0.07013482904966373,0.09679230686935666,-0.051338177564418476,-0.07033720127965465,0.09677995876048792,3.3839325329264314e-05,0.0014149503289039578,0.0015050393019779285,0.3274592510983469,0.4026869779346528,0.5956222305158699,0.6017826830724514,0.19595893417156007,1,1,1,1,1,1,1,0,0,0,0.14812358399490372
max_region,2,0.8319402767839637,0.2648148148148148,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.05133107369321425,-0.07015901918026947,0.09679296447876332,-0.051331070491050894,-0.0701591872367228,0.09679293885106152,-0.05133460996600606,-0.0701777720119728,0.096782487555744,3.7406923741677145e-05,0.0015743795965858093,0.0015075680972340133,0.3274212477021668,0.39678927035932055,0.5956210790806564,0.6017786539169961,0.19587781460004478,1,1,1,1,1,1,1,0,0,0,0.14812403817197756
