sequence,T,phi,T0,v_fit,deltaP_final,deltaP_late_mean,w_loc_x0eq2,P0bar
A,50,0.0,25,-0.046217400495688885,-0.06351226549246536,-0.06283563095186376,0.024936947945295326,0.004923145032486518
B,50,0.0,25,-0.1800072874667671,-0.586264044636979,-0.5973377065509566,0.10723335438844026,0.02103130561306419
ABB,50,0.0,25,-0.013687790788192048,0.05734543716849677,0.10290880344327612,0.3576448700871667,0.08146912959787592
