phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
3,0.2617993877991494,0.08333333333333333,-0.046847481565919995,-0.04683015530920581,-0.0469637690582501,3.0179260082356663e-05,1,-0.15975996714836402,-0.1596967489656563,-0.1599988305207079,5.576912890917218e-05,1,0.016701003899870448,0.016552761521411264,0.01792367957133537,0.000866127001058252,1,0.06354848546579045,0.11968188182242746,0.17757653622413755,0.5229911149619046,0.5406172634798287,0.16329245866767786,1,1,0,0,0
4,0.3490658503988659,0.1111111111111111,-0.04722528435564377,-0.047254273460885274,-0.047355432073371874,2.685925850061388e-05,1,-0.14978147411570347,-0.1500584501397887,-0.14987100871158138,3.8437265551360955e-05,1,0.028610372072157542,0.02662518209065067,0.029210964336497815,0.0008911165431357941,1,0.07583565642780131,0.1398742637065614,0.2100112114589775,0.5721073449402739,0.5843767879333053,0.18659300823520367,1,1,0,0,0
5,0.4363323129985824,0.1388888888888889,-0.047822952099258915,-0.047779662469739886,-0.04790082053128752,2.491406403483387e-05,1,-0.13857841476653987,-0.13857703507052888,-0.1386030475742587,3.569124688904135e-05,1,0.04025106480884744,0.03778045440400192,0.04118679881689373,0.0010830720514190123,1,0.08807401690810635,0.1675783155657217,0.24492376294396695,0.5974221290600127,0.6077382373719541,0.1990671848925852,1,1,0,0,0
6,0.5235987755982988,0.16666666666666666,-0.04847929738857835,-0.04850484431471416,-0.04854718629748175,1.0406434448939628e-05,1,-0.12617899990993398,-0.12619778586404026,-0.12620908271687298,3.9338951983519665e-05,1,0.05277929259443081,0.051274311481980216,0.053737876189001055,0.0011408278601500038,1,0.10125858998300916,0.20461561875157824,0.27288237577581265,0.6106049695275476,0.6188453932698199,0.20588805197615448,1,1,0,0,0
7,0.6108652381980153,0.19444444444444445,-0.04920499250386167,-0.04923743726489469,-0.04927401565599534,9.889673521529252e-06,1,-0.1124073580416347,-0.11251273932237828,-0.11248955729994113,5.140503808803709e-05,1,0.06646512511135272,0.06649418750615244,0.06645661258107205,0.0011972061438217524,1,0.1156701176152144,0.23866461858383353,0.2936584605683015,0.6135057764530047,0.620673909498182,0.20763076770000194,1,1,0,0,0
8,0.6981317007977318,0.2222222222222222,-0.05001971410539768,-0.050013906430618336,-0.05006589261210124,1.250101893435912e-05,1,-0.09721634602385362,-0.09688727570854351,-0.0972429629921126,0.00018148384289934372,1,0.07895283461979884,0.07948159881921642,0.07899806597923283,0.0012601856823787339,1,0.1289725487251965,0.2789593382702115,0.3393826485192185,0.6099492361795646,0.6165799829655302,0.20571142815256438,1,1,0,0,0
9,0.7853981633974483,0.25,-0.050862898067860776,-0.05085410299210991,-0.05090548853560196,1.0354377604500364e-05,1,-0.08034174586747714,-0.08113022502179565,-0.08055285251039351,0.0005832751624751387,1,0.09096312372140675,0.09085219163066426,0.09085306847963338,0.0015158077120513702,1,0.1418260217892675,0.31056711259338177,0.3877107932364458,0.6017875346041317,0.6080283668506882,0.20117445080433383,1,1,0,0,0
10,0.8726646259971648,0.2777777777777778,-0.05174193245784704,-0.05173666590950728,-0.05177706846677268,7.162496603208002e-06,1,-0.06138123193574013,-0.06366987647176738,-0.06167349993912366,0.002308283910651465,1,0.10162424667594457,0.10174354718914252,0.1014944931075641,0.00141196791072222,1,0.1533661791337916,0.3441432510287198,0.39628302888660455,0.5893137358401755,0.595572512607535,0.1942877492801357,1,1,0,0,0
11,0.9599310885968813,0.3055555555555556,-0.052643804434728825,-0.052639132202733904,-0.052666749600348436,5.091464199108442e-06,1,-0.047235916365386946,-0.04730700878424301,-0.047204995913890685,0.0031770838139678,1,0.11140307072933658,0.11175917299828439,0.1114199936107212,0.0018640444915221516,1,0.15863898709472352,0.373660704127894,0.4573935695724948,0.5732802224480577,0.579677562098809,0.18572815642529142,1,1,0,0,0
12,1.0471975511965976,0.3333333333333333,-0.05354750247179133,-0.05354435789014368,-0.053562106044308964,4.326521487532653e-06,1,-0.03879155192411197,-0.03875175760480491,-0.0380846711139849,0.0028291809126490333,1,0.1203908143897894,0.12053513662681453,0.1199414263245996,0.0021343872574163952,1,0.15918236631390137,0.40298969393240447,0.49080025377130576,0.5539169355050061,0.5606677055645828,0.17583604833778332,1,1,0,0,0
13,1.1344640137963142,0.3611111111111111,-0.054442847635631605,-0.054439530066423075,-0.05445286590713124,4.8064618810989e-06,1,-0.02999410799805783,-0.027974216567871323,-0.030528923068463172,0.002971210814171489,1,0.12777511300575226,0.12742966297153058,0.12688005358124518,0.0020218314152929545,1,0.15776922100381008,0.42919820009806103,0.49913221607393643,0.5314804510265615,0.5387990343964888,0.16515966784435135,1,1,0,0,0
14,1.2217304763960306,0.3888888888888889,-0.055324740488364284,-0.05531951608610291,-0.05533149833030386,4.270934748390465e-06,1,-0.02510859163144585,-0.030490307885248723,-0.025797940002575626,0.00362143948667875,1,0.1332428064093217,0.13260304934495828,0.13212422048040853,0.001994219880202458,1,0.15835139804076756,0.45252926207518085,0.5128827072694278,0.506185004241382,0.514308163377226,0.15396797869682027,1,1,0,0,0
15,1.3089969389957472,0.4166666666666667,-0.056186935759683296,-0.05618308836297553,-0.056189576112262996,2.8053525495397302e-06,1,-0.020840523118042298,-0.01898333694433294,-0.020768483308046547,0.003796307383908737,1,0.13631952649892606,0.13575425234849667,0.1351907850634846,0.0022115625365627667,1,0.15716004961696836,0.4730007685640124,0.5401461886015805,0.47810289712901627,0.4873638446509445,0.14240853043810983,1,1,0,0,0
16,1.3962634015954636,0.4444444444444444,-0.057018284770772455,-0.057016889626653286,-0.05701375035300096,3.5178633646937296e-06,1,-0.01770122094580185,-0.012243126449997152,-0.0182015938939875,0.0034341283580259473,1,0.13611641027447466,0.13598129025205888,0.13526584965465238,0.0026201060891198613,1,0.1538176312202765,0.4889325399144787,0.5778767531343267,0.4467141538943494,0.4577964780040205,0.13041180543250283,1,1,0,0,0
