t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
0,0,0.0,0.0,B,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
1,0,0.0,0.0,B,-0.6938063714798672,-0.6938063714798672,0.9999999999999998,0.9999999999999998,0.0
2,0,0.0,0.0,B,-0.20492666704444265,-0.10246333352222133,0.9999999999999997,0.9999999999999997,0.8523171049817971
3,0,0.0,0.0,B,-0.966088565715292,-0.9358244022597373,0.9999999999999999,0.9999999999999999,0.0
4,0,0.0,0.0,B,-0.8505567066330959,-0.4230436036793378,0.9967790009877775,0.9999999999999999,0.5304668477762671
5,0,0.0,0.0,B,-0.9827235022184649,-0.7290088550949819,0.9995243135410242,1.0,0.0
6,0,0.0,0.0,B,-1.4582441136053128,-0.6976813221575231,0.9616808482729784,0.9999297492466174,0.26413073379042357
7,0,0.0,0.0,B,-1.2920512525767973,-0.5378533907234166,0.991230878656684,0.999989625165363,0.0
8,0,0.0,0.0,B,-1.6794805622221634,-0.6946905908170885,0.8425669713779294,0.9981435848062944,0.1609668899150126
9,0,0.0,0.0,B,-1.8855103894848457,-0.5935358262308545,0.9477431498544648,0.9996278615966423,0.0
10,0,0.0,0.0,B,-1.8485591258813228,-0.5602958628241876,0.6346944589946709,0.9848133964973743,0.15419042138264635
11,0,0.0,0.0,B,-2.298156145715306,-0.6880637052017261,0.8315932996152027,0.9959922977589617,0.0
12,0,0.0,0.0,B,-2.3119261590114437,-0.5485817022836615,0.42431198048966384,0.9346904508537744,0.143138759986756
13,0,0.0,0.0,B,-2.4719852363298935,-0.638676082163,0.6447048084433247,0.9777693116340063,0.0
14,0,0.0,0.0,B,-2.8333210971022478,-0.6370047277782094,0.309605308497429,0.8198388754706339,0.10962036486715823
15,0,0.0,0.0,B,-2.78609834899762,-0.5621363605489116,0.45738007735135,0.9219735874002227,0.0
16,0,0.0,0.0,B,-3.108552184216663,-0.6474321910979172,0.29078829586781274,0.647535645943842,0.08758136601551009
17,0,0.0,0.0,B,-3.3076342762082778,-0.5927372920793782,0.3513336971594654,0.807778444215966,0.0
18,0,0.0,0.0,B,-3.328894828809797,-0.5787690089036966,0.28622008903736207,0.47890856527137626,0.08546256769969827
19,0,0.0,0.0,B,-3.70990717978869,-0.6470717572802641,0.3315356519177096,0.6467019338326441,0.0
20,0,0.0,0.0,B,-3.765217006452008,-0.5672082206060132,0.24718707811653534,0.38266572180017144,0.08202103274005788
21,0,0.0,0.0,B,-3.927236564679004,-0.6182849072058212,0.32841098757301773,0.4937510176486695,0.0
22,0,0.0,0.0,B,-4.251871405613997,-0.620694174539139,0.20245462158212743,0.36368869083528654,0.06941613161403762
23,0,0.0,0.0,B,-4.250917725131553,-0.5708655187167613,0.29183297194008717,0.40724183801526065,0.0
24,0,0.0,0.0,B,-4.543607168974417,-0.6292944737874099,0.18746504206693654,0.3612235855581725,0.06010832717179125
25,0,0.0,0.0,B,-4.742528421012329,-0.59262866043418,0.2436132734165527,0.39005368347594255,0.0
26,0,0.0,0.0,B,-4.789543339379462,-0.5832104357866461,0.18732375113101934,0.32695134657560776,0.059137078011943775
27,0,0.0,0.0,B,-5.136535659192556,-0.6303286085264082,0.2230480605129764,0.3878044206414163,0.0
28,0,0.0,0.0,B,-5.214671762064184,-0.5745282663906128,0.17297419190580116,0.2775448775680164,0.05742490089141698
29,0,0.0,0.0,B,-5.376065410510669,-0.6094133374110857,0.22292780479195895,0.3552988386108825,0.0
30,0,0.0,0.0,B,-5.681404007928988,-0.6131105186965984,0.15009869719067492,0.25291004701854924,0.05082438559926006
31,0,0.0,0.0,B,-5.706879890005721,-0.5753407982490715,0.21116963608302836,0.3058732995567231,0.0
32,0,0.0,0.0,B,-5.981249357195768,-0.6196853734884209,0.140077891965965,0.25205439514582434,0.045747244403083975
33,0,0.0,0.0,B,-6.181176432487333,-0.592601076928077,0.18601279268832233,0.27850635256259765,0.0
34,0,0.0,0.0,B,-6.243307624176349,-0.5849329796537239,0.1400706223329235,0.24285679985859593,0.04521403091181317
35,0,0.0,0.0,B,-6.5689610091698665,-0.6212304896284293,0.170987925124379,0.27663829233331916,0.0
36,0,0.0,0.0,B,-6.662289288471335,-0.5784394847434191,0.13287449842592075,0.2172646216328349,0.04416606924996589
37,0,0.0,0.0,B,-6.822485675229786,-0.604462514942037,0.1702157748154577,0.2695510992627888,0.0
38,0,0.0,0.0,B,-7.115592027844093,-0.6087216457166753,0.1191069312812264,0.19815514611391222,0.04009644700054077
39,0,0.0,0.0,B,-7.158796251805886,-0.5780659901893682,0.16514391615762988,0.2445371501097629,0.0
40,0,0.0,0.0,B,-7.420252200908366,-0.6137272536278402,0.11219155591693322,0.19568762444594803,0.03692322472481514
41,0,0.0,0.0,B,-7.621471958737377,-0.5925938340002396,0.15008609108925264,0.22239821031136864,0.0
42,0,0.0,0.0,B,-7.6937500154075105,-0.5857807768707382,0.11213979827148282,0.1926421131457407,0.03659843150720045
43,0,0.0,0.0,B,-8.004345299844154,-0.6155092694385049,0.13923562240917636,0.21779760663469397,0.0
44,0,0.0,0.0,B,-8.10886456869921,-0.5808789916155929,0.1078418837265729,0.17784685328110444,0.03587765696235412
45,0,0.0,0.0,B,-8.267725105161437,-0.6013051510736775,0.13823196837686677,0.21626828446742297,0.0
46,0,0.0,0.0,B,-8.55224758386273,-0.6058557740291448,0.09866541125615752,0.16373439356447617,0.03311104250353426
