t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
0,12,1.0471975511965976,0.3333333333333333,A,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
1,12,1.0471975511965976,0.3333333333333333,A,-0.1382301328771871,-0.1382301328771871,1.0,1.0,0.0
2,12,1.0471975511965976,0.3333333333333333,A,-0.20983707521680695,-0.10491853760840347,1.0,1.0,0.24098649531343475
3,12,1.0471975511965976,0.3333333333333333,A,-0.22967509933281782,-0.07040592545933111,0.9999999999999999,0.9999999999999999,0.0
4,12,1.0471975511965976,0.3333333333333333,A,-0.2390401436060111,-0.059076344877881104,0.5627311812047027,1.0,0.2865420715358755
5,12,1.0471975511965976,0.3333333333333333,A,-0.26044383623453393,-0.05195261812446672,0.6681070613560268,1.0,0.0
6,12,1.0471975511965976,0.3333333333333333,A,-0.3054898946469129,-0.05633251250924437,0.4891001043411561,0.7480887774591148,0.27721067242902275
7,12,1.0471975511965976,0.3333333333333333,A,-0.3645140780717798,-0.05725375863096793,0.5164930319392825,0.8087959801093656,0.0
8,12,1.0471975511965976,0.3333333333333333,A,-0.42750477950080823,-0.061071330626717435,0.45318169448351575,0.531094327640214,0.26930709321103957
9,12,1.0471975511965976,0.3333333333333333,A,-0.47948475163714704,-0.05785810433551497,0.49251154734130365,0.5445294619778759,0.0
10,12,1.0471975511965976,0.3333333333333333,A,-0.523478314824137,-0.0574968412549926,0.47548599609594755,0.5257378072845749,0.2899518856964045
11,12,1.0471975511965976,0.3333333333333333,A,-0.5635982060904495,-0.054862015405820364,0.5205706716270139,0.5548482335816327,0.0
12,12,1.0471975511965976,0.3333333333333333,A,-0.6101964975202804,-0.05620712512193393,0.5044262086946006,0.5461382584432264,0.31144517192431564
13,12,1.0471975511965976,0.3333333333333333,A,-0.6668653829412526,-0.05825152835643227,0.5348796865488306,0.5585800649204344,0.0
14,12,1.0471975511965976,0.3333333333333333,A,-0.731268975221667,-0.06169606264846145,0.5098500984389023,0.5467061539634416,0.31473861001898684
15,12,1.0471975511965976,0.3333333333333333,A,-0.796269670175941,-0.06405173679670223,0.5348820587846975,0.5523929727248235,0.0
16,12,1.0471975511965976,0.3333333333333333,A,-0.8566826770647598,-0.06539693105393335,0.5117439081288714,0.5481271745831996,0.3160970524360276
17,12,1.0471975511965976,0.3333333333333333,A,-0.9105517526719004,-0.06546071799002329,0.5416464986152193,0.557507628788682,0.0
18,12,1.0471975511965976,0.3333333333333333,A,-0.9612270094021654,-0.06495029608654468,0.5239744103498905,0.5569300521391226,0.3253348793032698
19,12,1.0471975511965976,0.3333333333333333,A,-1.0138307241641644,-0.06556402133433886,0.5525860947587684,0.5638768717789155,0.0
20,12,1.0471975511965976,0.3333333333333333,A,-1.070318058277392,-0.06603646317481754,0.5313263512520799,0.5630242157345701,0.3299457863151116
21,12,1.0471975511965976,0.3333333333333333,A,-1.1310336196212998,-0.06806126208003854,0.5540351077030073,0.5655955111524186,0.0
22,12,1.0471975511965976,0.3333333333333333,A,-1.191805471876239,-0.06886794138625135,0.5265843983986344,0.561403587133079,0.3255126375310975
23,12,1.0471975511965976,0.3333333333333333,A,-1.249893076702138,-0.06982618785558159,0.5491683142011604,0.5638859154142438,0.0
24,12,1.0471975511965976,0.3333333333333333,A,-1.3035586157713612,-0.06913134406374633,0.5227766263890773,0.5586628388120664,0.3226721475154562
25,12,1.0471975511965976,0.3333333333333333,A,-1.3544529393098512,-0.06873412145824331,0.5485971986152932,0.5628268950318058,0.0
26,12,1.0471975511965976,0.3333333333333333,A,-1.404615154175572,-0.0675769794803705,0.5242419375584711,0.5594583729517103,0.32371775096250094
27,12,1.0471975511965976,0.3333333333333333,A,-1.4569983844037564,-0.06769832848615531,0.5492447472760127,0.5633799838438799,0.0
28,12,1.0471975511965976,0.3333333333333333,A,-1.5113198741539995,-0.06749867075168825,0.5213986144727006,0.5583164425890087,0.32112009118929963
29,12,1.0471975511965976,0.3333333333333333,A,-1.5670067283846196,-0.06802072578560309,0.5441791037894742,0.56103092628137,0.0
30,12,1.0471975511965976,0.3333333333333333,A,-1.6217347308440249,-0.06788002380951058,0.5139118953766422,0.5529828653582818,0.3154197316483906
31,12,1.0471975511965976,0.3333333333333333,A,-1.6742100659329755,-0.06744453597310524,0.5384675795711463,0.5567437332740086,0.0
32,12,1.0471975511965976,0.3333333333333333,A,-1.7244671098418574,-0.0665706136373887,0.5107122959351433,0.5499102727700944,0.3132819035254344
33,12,1.0471975511965976,0.3333333333333333,A,-1.773753699340429,-0.06565305061840776,0.5378437669066818,0.5557168239170139,0.0
34,12,1.0471975511965976,0.3333333333333333,A,-1.8238052397834257,-0.06505810825624869,0.5112690767749165,0.550266413018705,0.31374233083463166
35,12,1.0471975511965976,0.3333333333333333,A,-1.875852166829483,-0.06480962680674218,0.5375665556045134,0.5557895098502429,0.0
36,12,1.0471975511965976,0.3333333333333333,A,-1.9297819780070022,-0.06503845698325839,0.5090132094928386,0.5486958844682472,0.31201137721644356
37,12,1.0471975511965976,0.3333333333333333,A,-1.9842474968988468,-0.06499466940720672,0.534418055892281,0.5534820627778408,0.0
38,12,1.0471975511965976,0.3333333333333333,A,-2.038083173862896,-0.0651376408529441,0.5060755762344327,0.5460816766952831,0.30997361991104777
39,12,1.0471975511965976,0.3333333333333333,A,-2.0900861949471405,-0.06455087489818356,0.5333766016392112,0.552228693090136,0.0
40,12,1.0471975511965976,0.3333333333333333,A,-2.1411457817700335,-0.0643154139671257,0.507619766023742,0.5468713433873192,0.3113269687775156
41,12,1.0471975511965976,0.3333333333333333,A,-2.1922714979756206,-0.06381747316286773,0.536007532428135,0.5538495610337701,0.0
42,12,1.0471975511965976,0.3333333333333333,A,-2.245027013994373,-0.06399311517327799,0.5106381142644263,0.5490519230617392,0.31364452672338006
43,12,1.0471975511965976,0.3333333333333333,A,-2.2996607003184244,-0.06416791060429333,0.5375425954786941,0.5548135141035142,0.0
