label,phi,phi_over_pi,L,mode_index,eigenphase,abs_eigenvalue_minus_1,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log,tail_d_min,tail_d_max,rank_by_w_loc5
paper_max_T300,1.0471975511965976,0.3333333333333333,120,0,0.1783795134494012,2.4424906541753444e-15,0.989181905181058,0.9986265492688685,0.36197053720857203,0.26812602448508266,0.27862696680213656,1,1.1412150342090133,0.09726414766240403,6,30,1
paper_max_T300,1.0471975511965976,0.3333333333333333,120,1,-2.9632131401403905,2.6645352591003757e-15,0.9891819051810579,0.9986265492688682,0.3619705372085721,0.26812602448508277,0.27862696680213656,1,1.1412150341794525,0.09726414768487593,6,30,2
paper_max_T300,1.0471975511965976,0.3333333333333333,120,3,-0.3913982268093227,0.0,0.9877695280431176,0.996598316154384,0.2425042906977058,0.19821732391248403,0.002166529866993991,1,1.026320250967177,0.15758429164429574,6,30,3
paper_max_T300,1.0471975511965976,0.3333333333333333,120,2,2.750194426780465,3.3306690738754696e-15,0.9877695280431174,0.9965983161543837,0.2425042906977053,0.19821732391248392,0.002166529866993939,1,1.026320250994531,0.15758429161689194,6,30,4
paper_max_T300,1.0471975511965976,0.3333333333333333,120,20,1.663117834962906,1.1102230246251565e-15,0.04806599927886042,0.06414584196925165,0.009666614597407265,0.004269019992115946,0.0046994291144198935,1,0.00046272683054760335,0.044594795813893806,6,30,5
paper_max_T300,1.0471975511965976,0.3333333333333333,120,42,-1.4635678573026885,1.5543122344752192e-15,0.04801984355142265,0.06411073371581942,0.00984457257637424,0.004273347973784715,0.004687793929823481,1,0.0005081843500978365,0.05358751476039148,6,30,6
paper_max_T300,1.0471975511965976,0.3333333333333333,120,34,-1.4934086780011164,5.10702591327572e-15,0.04801435750224654,0.06408497523036398,0.009450179785448858,0.004264052716824897,0.004694511272521236,1,0.00024402796055550402,0.03571977213108794,6,30,7
paper_max_T300,1.0471975511965976,0.3333333333333333,120,22,1.6929018348596858,8.881784197001252e-15,0.0478680011758406,0.06397432195849836,0.00997848998167742,0.004276890038357659,0.004660380137975647,1,0.00029116046967031793,0.056662403079518184,6,30,8
paper_max_T300,1.0471975511965976,0.3333333333333333,120,16,1.6332269000989994,4.884981308350689e-15,0.047872599105557856,0.06393330595840824,0.00920050376935089,0.004258597653572392,0.004672654748567802,1,4.226685035630832e-05,0.03187379879066,6,30,9
paper_max_T300,1.0471975511965976,0.3333333333333333,120,60,-1.4338460143116547,4.3298697960381105e-15,0.04760241479091374,0.06373088320994609,0.010062530700566173,0.004279508613653464,0.004618341770842327,1,2.7214975527989715e-05,0.05903684548862009,6,30,10
paper_max_T300,1.0471975511965976,0.3333333333333333,120,26,-1.5233417879547202,2.4424906541753444e-15,0.04764820037932157,0.0636961166616829,0.008922468248860936,0.004252808115251394,0.004633849792904076,1,0.0,0.02548471827933659,6,30,11
paper_max_T300,1.0471975511965976,0.3333333333333333,120,14,1.6032606075670475,1.5543122344752192e-15,0.04734843995044178,0.06337902912813856,0.008620590005867157,0.0042468365607555465,0.004578433000922726,1,0.0,0.01342623423100064,6,30,12
paper_max_T300,1.0471975511965976,0.3333333333333333,120,49,1.7225576257190232,4.551914400963142e-15,0.04721500850000544,0.0633741825464925,0.010090697859359852,0.004281081792981598,0.0045631771787436656,1,0.0,0.06633099370270597,6,30,13
paper_max_T300,1.0471975511965976,0.3333333333333333,120,28,-1.5533314188693006,1.7763568394002505e-15,0.04698039043145075,0.06298816111243302,0.008299018084408829,0.004240832162472225,0.00450704676996091,1,0.0,0.002657694503785373,6,30,14
paper_max_T300,1.0471975511965976,0.3333333333333333,120,62,-1.4042587642139504,2.6645352591003757e-15,0.0466980312395668,0.06289759746754776,0.010057036346676306,0.00428151437490747,0.004496665341849275,1,0.00022103125711548649,0.07231062632220987,6,30,15
paper_max_T300,1.0471975511965976,0.3333333333333333,120,12,1.5732581210942416,1.1102230246251565e-15,0.046550890514287624,0.06253019578853825,0.007961537394376487,0.004234938687735075,0.004420593214043169,1,4.413317749721246e-05,0.001186489204395694,6,30,16
paper_max_T300,1.0471975511965976,0.3333333333333333,160,1,0.17837951344940695,3.552713678800501e-15,0.9891819051810578,0.9986265492688684,0.36197053720857136,0.2681260244850825,0.2786269668021361,1,1.1396919529635232,0.08304216306220094,6,40,1
paper_max_T300,1.0471975511965976,0.3333333333333333,160,0,-2.963213140140391,2.886579864025407e-15,0.9891819051810576,0.9986265492688682,0.36197053720857225,0.2681260244850826,0.2786269668021368,1,1.1396919483588346,0.08304217078977007,6,40,2
paper_max_T300,1.0471975511965976,0.3333333333333333,160,2,2.750194426780469,2.220446049250313e-15,0.9877695280431171,0.9965983161543838,0.24250429069770502,0.1982173239124838,0.0021665298669940273,1,1.02362803304321,0.1348027898076379,6,40,3
paper_max_T300,1.0471975511965976,0.3333333333333333,160,3,-0.39139822680932634,4.884981308350689e-15,0.9877695280431171,0.9965983161543837,0.2425042906977054,0.19821732391248392,0.0021665298669940377,1,1.0236280300107987,0.13480279387244595,6,40,4
paper_max_T300,1.0471975511965976,0.3333333333333333,160,389,-0.7993065282266509,1.1102230246251565e-15,0.023563140764839775,0.046445167283674725,0.00039496089014951554,0.004390560485689189,0.0003174497620647217,1,0.001674362428767588,0.6766610394865782,6,40,5
paper_max_T300,1.0471975511965976,0.3333333333333333,160,433,2.326986018449621,1.6653345369377348e-15,0.025067355062907016,0.045643646908233526,0.0004719115186555791,0.004336700617608284,0.0003620289176950074,1,0.0,0.5654862921840071,6,40,6
paper_max_T300,1.0471975511965976,0.3333333333333333,160,97,1.795491118141518,1.7763568394002505e-15,0.03305237195090066,0.045502015765943836,0.007185943395725808,0.003202628456739256,0.002568999707523599,1,0.0003200753776719174,0.08705575104267557,6,40,7
paper_max_T300,1.0471975511965976,0.3333333333333333,160,47,-1.335227666939375,3.552713678800501e-15,0.03298583025101183,0.045476907833006695,0.00721247842786746,0.0032068094502751988,0.002567392075959936,1,0.00047749063254896434,0.089975261394904,6,40,8
paper_max_T300,1.0471975511965976,0.3333333333333333,160,50,-1.3569985636116042,1.354472090042691e-14,0.03301091598736654,0.04542145309085129,0.00711174059557383,0.003197592979605227,0.002574190391181022,1,0.00013604896995615833,0.08661130009320725,6,40,9
paper_max_T300,1.0471975511965976,0.3333333333333333,160,308,-0.7901072775705933,2.220446049250313e-16,0.02188522271550983,0.04533482816967139,0.0003270806925363777,0.004395621860841737,0.0002761839355619198,1,0.0,0.690703058803459,6,40,10
paper_max_T300,1.0471975511965976,0.3333333333333333,160,113,1.8172196731992427,7.105427357601002e-15,0.032790084882106114,0.04532352128409747,0.007181253187149416,0.003209815427005701,0.0025691327163986366,1,0.00048179742376588475,0.09473693213839592,6,40,11
paper_max_T300,1.0471975511965976,0.3333333333333333,160,96,1.7736699817182873,4.440892098500626e-15,0.03288379767491761,0.04525885775315529,0.007000253769328245,0.0031920385556401896,0.0025827096422057815,1,0.0,0.08316302283974718,6,40,12
paper_max_T300,1.0471975511965976,0.3333333333333333,160,46,-1.3788773027156638,5.440092820663267e-15,0.0326920469812554,0.0450363173095433,0.006861120656452921,0.0031862607565419326,0.0025939617624804122,1,0.0,0.07725600751370383,6,40,13
paper_max_T300,1.0471975511965976,0.3333333333333333,160,57,-1.313534032332742,5.10702591327572e-15,0.03244837530070947,0.04502379952170484,0.007083919310306384,0.0032114253727591803,0.0025734173148609135,1,0.00025494242778736095,0.09642162682706555,6,40,14
paper_max_T300,1.0471975511965976,0.3333333333333333,160,91,1.7517274804660652,4.440892098500626e-16,0.032454079231552434,0.0447729791707044,0.006702695588682105,0.003180491309736604,0.0026071689736266697,1,0.00017779684552784344,0.07448125817460224,6,40,15
paper_max_T300,1.0471975511965976,0.3333333333333333,160,424,-0.808733561126776,3.1086244689504383e-15,0.02302646477536742,0.04472206281703667,0.000651038023664374,0.004398226621077062,0.00037353329112165353,1,0.0,0.63075256116597,6,40,16
paper_max_T300,1.0471975511965976,0.3333333333333333,220,1,-2.9632131401403905,3.6637359812630166e-15,0.9891819051810578,0.9986265492688682,0.36197053720857025,0.2681260244850824,0.2786269668021353,1,1.1396919519483493,0.08304216617991803,6,40,1
paper_max_T300,1.0471975511965976,0.3333333333333333,220,0,0.17837951344940534,3.774758283725532e-15,0.9891819051810576,0.9986265492688682,0.3619705372085704,0.26812602448508244,0.2786269668021354,1,1.1396919406770525,0.08304218147561991,6,40,2
paper_max_T300,1.0471975511965976,0.3333333333333333,220,3,-0.3913982268093252,5.551115123125783e-15,0.9877695280431174,0.9965983161543839,0.24250429069770463,0.19821732391248395,0.00216652986699402,1,1.0236280309239618,0.13480279270080836,6,40,3
paper_max_T300,1.0471975511965976,0.3333333333333333,220,2,2.750194426780463,3.3306690738754696e-15,0.9877695280431175,0.9965983161543835,0.24250429069770446,0.1982173239124839,0.0021665298669940073,1,1.0236280325498224,0.13480279046436652,6,40,4
paper_max_T300,1.0471975511965976,0.3333333333333333,220,115,-1.4623423934384483,6.661338147750939e-16,0.026415248973805545,0.0352901335447488,0.005420384437760265,0.0023084204879212818,0.0025558463216829633,1,0.0,0.04955191474066441,6,40,5
paper_max_T300,1.0471975511965976,0.3333333333333333,220,69,1.6874545881729197,2.1094237467877974e-15,0.026407509014332427,0.03528557344510727,0.005472430147286636,0.0023097469812019857,0.0025608483554493263,1,0.0,0.05459961483319206,6,40,6
paper_max_T300,1.0471975511965976,0.3333333333333333,220,66,1.6710368845632313,1.5543122344752192e-15,0.026395721428344145,0.03526831970883949,0.005357931787124141,0.002307003091213933,0.002548904664061935,1,1.2026606648434667e-05,0.04615746358049752,6,40,7
paper_max_T300,1.0471975511965976,0.3333333333333333,220,121,-1.4459430065862222,2.220446049250313e-15,0.026368121754889614,0.035250474808454446,0.005512121940338082,0.002310947472950242,0.002563775438991341,1,3.3764658779961955e-05,0.0588313365732011,6,40,8
paper_max_T300,1.0471975511965976,0.3333333333333333,220,110,-1.478777863807306,6.661338147750939e-16,0.026353051573275305,0.03522401395206969,0.005286863414210122,0.002305527765446667,0.0025401460712791432,1,9.912415150647968e-05,0.04459634745178038,6,40,9
