label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log
paper_max_T300,1.0471975511965976,0.3333333333333333,120,1,0,0.989181905181058,0.9986265492688685,0.36197053720857203,0.26812602448508266,0.27862696680213656,1,1.1412150342090133,0.09726414766240403
paper_max_T300,1.0471975511965976,0.3333333333333333,120,2,1,0.9891819051810579,0.9986265492688682,0.3619705372085721,0.26812602448508277,0.27862696680213656,1,1.1412150341794525,0.09726414768487593
paper_max_T300,1.0471975511965976,0.3333333333333333,120,3,3,0.9877695280431176,0.996598316154384,0.2425042906977058,0.19821732391248403,0.002166529866993991,1,1.026320250967177,0.15758429164429574
paper_max_T300,1.0471975511965976,0.3333333333333333,120,4,2,0.9877695280431174,0.9965983161543837,0.2425042906977053,0.19821732391248392,0.002166529866993939,1,1.026320250994531,0.15758429161689194
paper_max_T300,1.0471975511965976,0.3333333333333333,120,5,20,0.04806599927886042,0.06414584196925165,0.009666614597407265,0.004269019992115946,0.0046994291144198935,1,0.00046272683054760335,0.044594795813893806
paper_max_T300,1.0471975511965976,0.3333333333333333,120,6,42,0.04801984355142265,0.06411073371581942,0.00984457257637424,0.004273347973784715,0.004687793929823481,1,0.0005081843500978365,0.05358751476039148
paper_max_T300,1.0471975511965976,0.3333333333333333,120,7,34,0.04801435750224654,0.06408497523036398,0.009450179785448858,0.004264052716824897,0.004694511272521236,1,0.00024402796055550402,0.03571977213108794
paper_max_T300,1.0471975511965976,0.3333333333333333,120,8,22,0.0478680011758406,0.06397432195849836,0.00997848998167742,0.004276890038357659,0.004660380137975647,1,0.00029116046967031793,0.056662403079518184
paper_max_T300,1.0471975511965976,0.3333333333333333,120,9,16,0.047872599105557856,0.06393330595840824,0.00920050376935089,0.004258597653572392,0.004672654748567802,1,4.226685035630832e-05,0.03187379879066
paper_max_T300,1.0471975511965976,0.3333333333333333,120,10,60,0.04760241479091374,0.06373088320994609,0.010062530700566173,0.004279508613653464,0.004618341770842327,1,2.7214975527989715e-05,0.05903684548862009
paper_max_T300,1.0471975511965976,0.3333333333333333,120,11,26,0.04764820037932157,0.0636961166616829,0.008922468248860936,0.004252808115251394,0.004633849792904076,1,0.0,0.02548471827933659
paper_max_T300,1.0471975511965976,0.3333333333333333,120,12,14,0.04734843995044178,0.06337902912813856,0.008620590005867157,0.0042468365607555465,0.004578433000922726,1,0.0,0.01342623423100064
paper_max_T300,1.0471975511965976,0.3333333333333333,120,13,49,0.04721500850000544,0.0633741825464925,0.010090697859359852,0.004281081792981598,0.0045631771787436656,1,0.0,0.06633099370270597
paper_max_T300,1.0471975511965976,0.3333333333333333,120,14,28,0.04698039043145075,0.06298816111243302,0.008299018084408829,0.004240832162472225,0.00450704676996091,1,0.0,0.002657694503785373
paper_max_T300,1.0471975511965976,0.3333333333333333,120,15,62,0.0466980312395668,0.06289759746754776,0.010057036346676306,0.00428151437490747,0.004496665341849275,1,0.00022103125711548649,0.07231062632220987
paper_max_T300,1.0471975511965976,0.3333333333333333,120,16,12,0.046550890514287624,0.06253019578853825,0.007961537394376487,0.004234938687735075,0.004420593214043169,1,4.413317749721246e-05,0.001186489204395694
paper_max_T300,1.0471975511965976,0.3333333333333333,160,1,1,0.9891819051810578,0.9986265492688684,0.36197053720857136,0.2681260244850825,0.2786269668021361,1,1.1396919529635232,0.08304216306220094
paper_max_T300,1.0471975511965976,0.3333333333333333,160,2,0,0.9891819051810576,0.9986265492688682,0.36197053720857225,0.2681260244850826,0.2786269668021368,1,1.1396919483588346,0.08304217078977007
paper_max_T300,1.0471975511965976,0.3333333333333333,160,3,2,0.9877695280431171,0.9965983161543838,0.24250429069770502,0.1982173239124838,0.0021665298669940273,1,1.02362803304321,0.1348027898076379
paper_max_T300,1.0471975511965976,0.3333333333333333,160,4,3,0.9877695280431171,0.9965983161543837,0.2425042906977054,0.19821732391248392,0.0021665298669940377,1,1.0236280300107987,0.13480279387244595
paper_max_T300,1.0471975511965976,0.3333333333333333,160,5,389,0.023563140764839775,0.046445167283674725,0.00039496089014951554,0.004390560485689189,0.0003174497620647217,1,0.001674362428767588,0.6766610394865782
paper_max_T300,1.0471975511965976,0.3333333333333333,160,6,433,0.025067355062907016,0.045643646908233526,0.0004719115186555791,0.004336700617608284,0.0003620289176950074,1,0.0,0.5654862921840071
paper_max_T300,1.0471975511965976,0.3333333333333333,160,7,97,0.03305237195090066,0.045502015765943836,0.007185943395725808,0.003202628456739256,0.002568999707523599,1,0.0003200753776719174,0.08705575104267557
