mask_name,policy,T,side,phi_root,phi_root_over_pi,search_center,search_margin,search_margin_over_pi,side_scan_points,interval_width,interval_width_over_pi,midpoint_phi,midpoint_phi_over_pi,strict_stage3_all_profile_points,drift_stage3_all_profile_points,pp_primary_all_profile_points,pp_sensitivity_all_profile_points,bracket_found
pp_primary,fixed,12000,left,1.7335249119026988,0.5517981174045138,1.733178845836952,0.01884955592153876,0.006,31,0.040382760098790715,0.012854231770833396,1.753716291952094,0.5582252332899305,1,1,0,1,1
pp_primary,fixed,12000,right,1.7739076720014895,0.5646523491753472,1.7740083011411747,0.01884955592153876,0.006,31,0.040382760098790715,0.012854231770833396,1.753716291952094,0.5582252332899305,1,1,0,1,1
pp_primary,scaled,12000,left,1.7338881585532704,0.551913742404514,1.733178845836952,0.01884955592153876,0.006,31,0.039936064893358214,0.012712044270833332,1.7538561909999495,0.5582697645399306,1,1,0,1,1
pp_primary,scaled,12000,right,1.7738242234466286,0.5646257866753472,1.7740083011411747,0.01884955592153876,0.006,31,0.039936064893358214,0.012712044270833332,1.7538561909999495,0.5582697645399306,1,1,0,1,1
pp_sensitivity,fixed,12000,left,1.7253371360492809,0.549191867404514,1.733178845836952,0.01884955592153876,0.006,31,0.07331057809922825,0.023335481770833243,1.761992425098895,0.5608596082899306,1,1,0,0,1
pp_sensitivity,fixed,12000,right,1.798647714148509,0.5725273491753472,1.7740083011411747,0.03769911184307752,0.012,31,0.07331057809922825,0.023335481770833243,1.761992425098895,0.5608596082899306,1,1,0,0,1
pp_sensitivity,scaled,12000,left,1.7255285768516089,0.5492528049045139,1.733178845836952,0.01884955592153876,0.006,31,0.07304059748056035,0.023249544270833235,1.762048875591889,0.5608775770399306,1,1,0,1,1
pp_sensitivity,scaled,12000,right,1.7985691743321692,0.5725023491753471,1.7740083011411747,0.03769911184307752,0.012,31,0.07304059748056035,0.023249544270833235,1.762048875591889,0.5608775770399306,1,1,0,1,1
