label,phi,phi_over_pi,L,k_localized_modes,subspace_weight,absolute_contribution_w_loc3,absolute_contribution_w_loc5,absolute_contribution_P0,conditional_w_loc3,conditional_w_loc5,conditional_P0,weighted_tail_kappa,full_diag_w_loc3,full_diag_w_loc5,full_diag_P0
paper_max_T300,1.0471975511965976,0.3333333333333333,120,2,0.5572539336042731,0.5512255077123136,0.5564885727817384,0.20170950570832868,0.9891819051810579,0.9986265492688684,0.3619705372085721,1.1412150341942329,0.5691439227783013,0.5830695432058005,0.17610937655280834
paper_max_T300,1.0471975511965976,0.3333333333333333,120,4,0.561586993338261,0.5555055720807375,0.560806892816427,0.20276029128567022,0.989171007645007,0.99861089994767,0.36104876660407537,1.1403285358160782,0.5691439227783013,0.5830695432058005,0.17610937655280834
paper_max_T300,1.0471975511965976,0.3333333333333333,120,8,0.5803291077930012,0.5564050489927354,0.5620078718601098,0.20294273571536012,0.958775014937215,0.9684295761028302,0.34970283756255804,1.1035130317832191,0.5691439227783013,0.5830695432058005,0.17610937655280834
paper_max_T300,1.0471975511965976,0.3333333333333333,120,16,0.6168198696108351,0.5581291228399149,0.5643186042187363,0.2032768804200608,0.9048494549827821,0.9148839588691865,0.3295563104157338,1.0382321921011144,0.5691439227783013,0.5830695432058005,0.17610937655280834
paper_max_T300,1.0471975511965976,0.3333333333333333,160,2,0.5572539336042729,0.5512255077123134,0.5564885727817381,0.20170950570832846,0.9891819051810579,0.9986265492688684,0.3619705372085718,1.139691950661179,0.5652340847072822,0.5773486871197572,0.17559346571726064
paper_max_T300,1.0471975511965976,0.3333333333333333,160,4,0.561586993338261,0.5555055720807374,0.5608068928164269,0.20276029128567002,0.9891710076450068,0.9986108999476699,0.36104876660407503,1.138796431533181,0.5652340847072822,0.5773486871197572,0.17559346571726064
paper_max_T300,1.0471975511965976,0.3333333333333333,160,8,0.5674028638015042,0.5556917263946698,0.5610718128618242,0.20279756545797262,0.9793601016949902,0.9888420532507308,0.35741371500887903,1.1271283324681327,0.5652340847072822,0.5773486871197572,0.17559346571726064
paper_max_T300,1.0471975511965976,0.3333333333333333,160,16,0.5835531618289412,0.5562134380557753,0.561800713122608,0.20290623759172194,0.9531495576384519,0.9627241352987312,0.3477082309960999,1.0959387990409943,0.5652340847072822,0.5773486871197572,0.17559346571726064
paper_max_T300,1.0471975511965976,0.3333333333333333,220,2,0.5572539336042707,0.5512255077123112,0.5564885727817358,0.20170950570832685,0.9891819051810579,0.9986265492688682,0.36197053720857036,1.1396919463127009,0.562263635101851,0.572883626289357,0.17523842727894687
paper_max_T300,1.0471975511965976,0.3333333333333333,220,4,0.5615869933382588,0.5555055720807351,0.5608068928164246,0.20276029128566841,0.9891710076450068,0.9986108999476697,0.3610487666040736,1.138796427219874,0.562263635101851,0.572883626289357,0.17523842727894687
paper_max_T300,1.0471975511965976,0.3333333333333333,220,8,0.5718163681184443,0.5557755931440795,0.5611677198632908,0.20281594771920808,0.9719476813384221,0.9813775036027865,0.3546872020935179,1.118424400670472,0.562263635101851,0.572883626289357,0.17523842727894687
paper_max_T300,1.0471975511965976,0.3333333333333333,220,16,0.5920825901165234,0.5563062838525565,0.5618783479545827,0.2029229584530208,0.9395754800746193,0.9489864375914238,0.3427274536362993,1.0801483931238116,0.562263635101851,0.572883626289357,0.17523842727894687
paper_max_T300,1.0471975511965976,0.3333333333333333,300,2,0.5572539336042714,0.5512255077123118,0.5564885727817366,0.2017095057083273,0.9891819051810576,0.9986265492688682,0.36197053720857064,1.1396919384959683,0.5600768790647607,0.5696314092136526,0.1749653604578215
paper_max_T300,1.0471975511965976,0.3333333333333333,300,4,0.5615869933382593,0.5555055720807358,0.5608068928164254,0.20276029128566886,0.989171007645007,0.99861089994767,0.361048766604074,1.1387964194703304,0.5600768790647607,0.5696314092136526,0.1749653604578215
paper_max_T300,1.0471975511965976,0.3333333333333333,300,8,0.569508828918703,0.5556604251211698,0.5610133509670259,0.20279067324792868,0.9756836012115448,0.9850827985093628,0.3560799463512389,1.1229580976964413,0.5600768790647607,0.5696314092136526,0.1749653604578215
paper_max_T300,1.0471975511965976,0.3333333333333333,300,16,0.5851844764400534,0.5559652666991399,0.5614202487510164,0.20284950705789967,0.9500683785758169,0.959390194638098,0.3466419825281877,1.0928778698575825,0.5600768790647607,0.5696314092136526,0.1749653604578215
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,2,0.5850609160861313,0.5793692076977224,0.5843509525029971,0.21411683154998284,0.990271596970646,0.9987865133978122,0.36597356901287365,1.1648411930405247,0.5940450376585046,0.607149271264575,0.18899851756062694
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,4,0.5866336794869245,0.5809132163098014,0.5859151847176423,0.2144605997486117,0.9902486621938819,0.9987752241400278,0.36557839627649924,1.1642143211875,0.5940450376585046,0.607149271264575,0.18899851756062694
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,8,0.6041902215457307,0.581781713576994,0.5870643270919655,0.21463281297150205,0.9629115017594827,0.9716547970439656,0.35524046122824693,1.1303850685524028,0.5940450376585046,0.607149271264575,0.18899851756062694
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,16,0.637700377397322,0.5834158771849115,0.5892345586016194,0.21496208354594845,0.9148745992060339,0.9239990746226174,0.3370894720547035,1.0709961246041049,0.5940450376585046,0.607149271264575,0.18899851756062694
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,2,0.58506091608613,0.579369207697721,0.5843509525029957,0.21411683154998196,0.990271596970646,0.9987865133978122,0.3659735690128729,1.1633567367587114,0.5902835122915757,0.6016849214462099,0.1884898297609994
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,4,0.5866336794869231,0.5809132163098003,0.5859151847176409,0.21446059974861087,0.9902486621938822,0.9987752241400278,0.36557839627649863,1.1627272976550256,0.5902835122915757,0.6016849214462099,0.1884898297609994
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,8,0.5910254450320189,0.5810440273570839,0.5861087420514967,0.21448030293021492,0.983111695513559,0.9916810637818547,0.36289520989844254,1.1540891178874966,0.5902835122915757,0.6016849214462099,0.1884898297609994
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,16,0.6137968719276116,0.5817697035693132,0.5871094275961339,0.2145896167242996,0.9478212258434653,0.95652072281231,0.3496101504238479,1.111280110116656,0.5902835122915757,0.6016849214462099,0.1884898297609994
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,2,0.5850609160861302,0.5793692076977214,0.5843509525029961,0.2141168315499824,0.9902715969706462,0.9987865133978124,0.3659735690128736,1.1633567336597737,0.5874375149996832,0.5974355120081662,0.18815192436260728
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,4,0.5866336794869234,0.5809132163098004,0.5859151847176413,0.21446059974861129,0.990248662193882,0.9987752241400281,0.3655783962764992,1.1627272945644225,0.5874375149996832,0.5974355120081662,0.18815192436260728
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,8,0.5959767034866947,0.5811629677926493,0.5862472586168596,0.21450804861298275,0.9751437671852283,0.983674789949147,0.35992690210544726,1.1444995642213986,0.5874375149996832,0.5974355120081662,0.18815192436260728
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,16,0.6143947597781978,0.5816538828089975,0.5869006399220478,0.21460277408644857,0.9467103577168855,0.955250074290875,0.34929134838962844,1.110192081657393,0.5874375149996832,0.5974355120081662,0.18815192436260728
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,2,0.5850609160861291,0.5793692076977203,0.5843509525029951,0.21411683154998146,0.9902715969706462,0.9987865133978125,0.36597356901287265,1.16335674031481,0.585358811550429,0.5943556952389177,0.18789412821468057
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,4,0.5866336794869222,0.5809132163097993,0.5859151847176403,0.21446059974861031,0.990248662193882,0.9987752241400283,0.36557839627649824,1.1627273012020298,0.585358811550429,0.5943556952389177,0.18789412821468057
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,8,0.5939368677898095,0.5810611315930734,0.5861105016965793,0.21449023965488495,0.9783213723629416,0.9868228990021211,0.3611330619246753,1.1484303298101357,0.585358811550429,0.5943556952389177,0.18789412821468057
