label,phi,phi_over_pi,L,topk_overlap_weight,diag_period_avg_w_loc3,diag_period_avg_w_loc5,diag_period_avg_P0,ring_direct_period_avg_w_loc3,ring_direct_period_avg_w_loc5,ring_direct_period_avg_P0,abs_diff_diag_vs_ring_w_loc3,abs_diff_diag_vs_ring_w_loc5,abs_diff_diag_vs_ring_P0,delta_from_prev_L_w_loc3,delta_from_prev_L_w_loc5,delta_from_prev_L_P0,prev_L
paper_max_T300,1.0471975511965976,0.3333333333333333,120,0.6168198696108351,0.5691439227783013,0.5830695432058005,0.17610937655280834,0.5693529723351055,0.5833130752731256,0.17615537849720456,0.00020904955680423054,0.0002435320673250807,4.600194439621785e-05,nan,nan,nan,nan
paper_max_T300,1.0471975511965976,0.3333333333333333,160,0.5835531618289412,0.5652340847072822,0.5773486871197572,0.17559346571726064,0.5654252445520598,0.5776003035636939,0.17562350809450633,0.00019115984477757753,0.00025161644393667526,3.0042377245687035e-05,0.003909838071019078,0.0057208560860433355,0.0005159108355476949,120
paper_max_T300,1.0471975511965976,0.3333333333333333,220,0.5920825901165234,0.562263635101851,0.572883626289357,0.17523842727894687,0.5620518483033605,0.5725894989188831,0.1752039271123024,0.00021178679849043203,0.0002941273704738512,3.4500166644468866e-05,0.002970449605431247,0.004465060830400214,0.00035503843831377613,160
paper_max_T300,1.0471975511965976,0.3333333333333333,300,0.5851844764400534,0.5600768790647607,0.5696314092136526,0.1749653604578215,0.5599823239072714,0.5694595811675753,0.17497029295176642,9.455515748924004e-05,0.00017182804607729363,4.9324939449257865e-06,0.002186756037090287,0.0032522170757043334,0.0002730668211253784,220
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,0.637700377397322,0.5940450376585046,0.607149271264575,0.18899851756062694,0.5941582692247214,0.6072860238442721,0.18901790196353227,0.0001132315662167871,0.00013675257969714139,1.9384402905331388e-05,nan,nan,nan,nan
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,0.6137968719276116,0.5902835122915757,0.6016849214462099,0.1884898297609994,0.5904757276555034,0.6019444701112324,0.18851796503573154,0.00019221536392766136,0.0002595486650225354,2.8135274732138393e-05,0.003761525366928864,0.005464349818365077,0.0005086877996275385,120
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,0.6143947597781978,0.5874375149996832,0.5974355120081662,0.18815192436260728,0.5872511232827976,0.5971700221826882,0.18813166895310574,0.0001863917168856144,0.0002654898254780269,2.025540950154059e-05,0.002845997291892499,0.004249409438043639,0.0003379053983921243,160
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,0.6084975086361478,0.585358811550429,0.5943556952389177,0.18789412821468057,0.5852897431094712,0.5942136189876767,0.18790363701629278,6.906844095777576e-05,0.00014207625124107448,9.508801612212459e-06,0.0020787034492542045,0.0030798167692485112,0.00025779614792670325,220
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,0.17646276689008544,0.10930465647216987,0.13314149338161696,0.02197587446317846,0.10808834214032292,0.13165429194073136,0.021661267344157215,0.0012163143318469488,0.0014872014408855994,0.0003146071190212457,nan,nan,nan,nan
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,0.1631049889069486,0.10289218640504898,0.12312604108064262,0.02100453981270913,0.10099469999401245,0.12061622896068563,0.020574822034011373,0.001897486411036528,0.002509812119956989,0.0004297177786977552,0.006412470067120896,0.010015452300974337,0.000971334650469332,120
