label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,1,-0.6938063714798672,-0.6938063714798672,0.9999999999999998,0.9999999999999998,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,2,-0.20492666704444268,-0.10246333352222134,0.9999999999999999,0.9999999999999999,0.8523171049817974
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,3,-0.9660885657152918,-0.9358244022597371,0.9999999999999997,0.9999999999999997,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,4,-0.3532528307226487,-0.17439166572411416,0.9967790009877775,0.9999999999999998,0.7656275751638878
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,5,-0.834395928433796,-0.7275678335067683,0.9995243135410239,0.9999999999999997,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,6,-0.11174139258982352,-0.040699435100489526,0.9770675822045343,0.9999297492466171,0.8301187235141857
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,7,-0.2713994793398769,-0.1994615370523955,0.9942606885392,0.999989625165363,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,8,-0.05907105739306584,-0.0036317732459466567,0.946619921473173,0.9987028986748004,0.8474105725299983
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,9,0.37853652969137425,0.4344961965543416,0.9781322210022552,0.9997269829062321,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,10,-0.009463414404078996,0.02534655277721294,0.9261083849033027,0.9926572060412933,0.8466020707927839
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,11,0.7281522253681592,0.8302808101400647,0.9539212898982984,0.9978502661994996,0.0
pp_primary_mid_T6000,B,1.7535935734890633,0.5581861707899305,12,-0.02419361385001939,0.030952915943376506,0.923043512277147,0.9778685474250501,0.8548430236393438
