label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,1,-0.13823013287718722,-0.13823013287718722,0.9999999999999999,0.9999999999999999,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,2,-0.20983707521680717,-0.10491853760840358,0.9999999999999999,0.9999999999999998,0.24098649531343475
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,3,-0.22967509933281827,-0.07040592545933111,0.9999999999999998,0.9999999999999999,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,4,-0.24031967819230826,-0.059716112171029456,0.5627311812047027,1.0,0.365921879531953
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,5,-0.24594411763699742,-0.035510531465504425,0.6681070613560268,1.0,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,6,-0.28681451057621277,-0.04588910778162403,0.6262925837805406,0.7480887774591146,0.4364187299911402
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,7,-0.3403837698024901,-0.042021763317925676,0.6553342914538518,0.8087959801093654,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,8,-0.4197570719044008,-0.05789074082621609,0.6458403480034874,0.6628223163642766,0.4473277353892521
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,9,-0.5028772584157748,-0.06738084990218057,0.6578338516265381,0.6645094488419918,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,10,-0.5875542872667381,-0.07610358272198747,0.6354176752583494,0.6621075982194561,0.4322995414885269
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,11,-0.6710020810141972,-0.08742205017439314,0.6483674254024062,0.6673680000250112,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,12,-0.742846048964432,-0.0858474330859729,0.6217823987004824,0.653027853549211,0.4212735743384244
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,13,-0.8127702203213298,-0.09230640798360601,0.6384056482870611,0.6548979218985493,0.0
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,14,-0.8673379744438785,-0.08447094883336509,0.618405384979866,0.6448173446712868,0.41966872230558505
