label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,1,-0.6938063714798675,-0.6938063714798675,1.0,1.0,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,2,-0.20492666704444268,-0.10246333352222134,1.0,1.0,0.8523171049817975
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,3,-0.9660885657152916,-0.9358244022597371,0.9999999999999996,0.9999999999999996,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,4,-0.6818222866265032,-0.33867639367604147,0.9967790009877775,0.9999999999999999,0.6015116350255576
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,5,-0.9323961905969319,-0.7285199187450304,0.9995243135410238,0.9999999999999996,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,6,-0.8162467349984197,-0.38220283951140954,0.9663293593180514,0.999929749246617,0.4854903609555564
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,7,-0.8301940748878675,-0.39523831456102804,0.992146219414898,0.9999896251653629,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,8,-0.6582195340857941,-0.23786876347947958,0.8812845374893785,0.9983125600226709,0.47456285321102404
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,9,-0.5613129695170278,-0.052631633728092875,0.958750412393357,0.9996578072956116,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,10,-0.6102412477977929,-0.13837406387823536,0.7623608050902557,0.9875927097473636,0.47656253768554385
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,11,-0.27377179038452804,0.23515720725327827,0.8828300123929694,0.9966390419953299,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,12,-0.5895615577033757,-0.08272256584298848,0.6662221071290226,0.9521084244675457,0.47126206103056445
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,13,-0.23666720034917432,0.35328746143425127,0.778969725733541,0.9830262183620557,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,14,-0.5833465766086259,-0.04433125113238695,0.626783563097433,0.8806077023024417,0.45237750817150296
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,15,-0.40363147656022513,0.29190209767248126,0.6913959409662036,0.9455712866104935,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,16,-0.7524082731951207,-0.07610531838508733,0.6263437658054183,0.7865228136679843,0.4380363919918521
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,17,-0.713352277657411,0.09022308498098325,0.6538772007359114,0.8767328056428771,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,18,-1.0113433845548205,-0.14471563104501312,0.6198855859222717,0.7078423208166982,0.43897861362977547
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,19,-1.1552560264726663,-0.2029873886019305,0.6533967738310993,0.7903093233770551,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,20,-1.2753234106117186,-0.2165880542185532,0.5939582786640621,0.6739840378308976,0.4312028565808478
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,21,-1.587586447971153,-0.4787658483752335,0.648361190450772,0.7197772295283189,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,22,-1.5325459245876565,-0.28676538761293974,0.5764696852912573,0.6733921838100076,0.4193240785989452
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,23,-1.899661735690059,-0.6444007641796559,0.6248018671033017,0.6896717269965654,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,24,-1.698970332700044,-0.3135704367999841,0.5778067869009151,0.6692823526199337,0.4210779132305642
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,25,-2.0387425317207515,-0.6598228465455674,0.6060616500374645,0.6890466803776093,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,26,-1.773996667654921,-0.2930170927393264,0.5768546861517185,0.6476294962791312,0.4238322358643615
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,27,-1.9710671483807087,-0.5140675103418805,0.6049547437730696,0.6853921337960225,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,28,-1.7846504403331278,-0.24583580752510079,0.5664717026262305,0.6277861408546571,0.42149956227146523
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,29,-1.7839197315762243,-0.2583723091352029,0.6056177996587,0.665086638590835,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,30,-1.7210411730037034,-0.17182276988241502,0.559752052492212,0.6243660344213033,0.4208513765441618
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,31,-1.5845833177495043,0.015664786960436827,0.5963833146194832,0.644591455055803,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,32,-1.6724640031210685,-0.10178078875449137,0.5609559019244592,0.6257330806729251,0.42083025195225837
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,33,-1.439270050866014,0.22322915049340464,0.5866456591754421,0.6393680964850299,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,34,-1.7084163863611463,-0.06704303800349726,0.561107995432056,0.6178517787354746,0.42108076535833794
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,35,-1.453624700723664,0.29166789783955005,0.5857788246857571,0.6409385100908571,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,36,-1.8103343796208309,-0.0671444171281746,0.5551504356337107,0.6066170062317872,0.41930031840494675
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,37,-1.6710643424974378,0.19703012877527804,0.5871030988728312,0.6343795727362285,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,38,-1.99390990254771,-0.106745526156102,0.5502616591193403,0.603693837921524,0.4148903173504175
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,39,-2.02691518682622,-0.021798902430438083,0.5819895857672328,0.6225574770705695,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,40,-2.2443902988170064,-0.17393484722375424,0.5516696705362197,0.6054691726739405,0.4147764944008139
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,41,-2.441052055062292,-0.2943718099765154,0.5758006962379144,0.6177576015066325,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,42,-2.493465607252709,-0.23858681993190667,0.552131877865617,0.601747487245237,0.416222405024985
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,43,-2.8119065383143194,-0.5280874353567669,0.5759935000648846,0.6193613418773692,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,44,-2.699653596033704,-0.28492623094477476,0.5479858196263252,0.5948302939305062,0.41414749076465607
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,45,-3.044300611346357,-0.6389111610556452,0.5775418725807234,0.6169678870848965,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,46,-2.8219231385246886,-0.2949375016969549,0.5462258023540927,0.5932153360486677,0.4141436494026775
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,47,-3.1020240295162655,-0.5927816005678936,0.574430109278632,0.6098431441817681,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,48,-2.852518015886679,-0.2608532614952532,0.5484420094083243,0.5950245371405393,0.41656438765589776
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,49,-2.9887117553743687,-0.4046036293835401,0.5710401386283943,0.6064390164116569,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,50,-2.8346945842902023,-0.20160229429157955,0.5488894258930304,0.593091800705999,0.41712480840306265
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,51,-2.779525181343085,-0.13660193694458567,0.5718745770179174,0.607878852912354,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,52,-2.792397420696026,-0.1339964991582892,0.5466010554500884,0.5887666181286701,0.4168213929730657
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,53,-2.5996419320539945,0.116189809653033,0.5732308715633089,0.6070540419453228,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,54,-2.7707123058733525,-0.07820630324677091,0.5456282594093165,0.5879706194431806,0.41624066868457066
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,55,-2.5322246374968973,0.2689315912579901,0.571236822553002,0.6025152709576336,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,56,-2.834959110910296,-0.05909241063923909,0.5471660069059128,0.5896253316348459,0.4161595471678936
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,57,-2.6294930685167612,0.26951495642667667,0.568925862526092,0.6001919497844654,0.0
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,58,-2.986848154567252,-0.07962169740649189,0.547592313577238,0.588513852221249,0.41666366785287046
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,59,-2.9087112180990675,0.11484261141727481,0.5698845202392003,0.6015306405530854,0.0
