policy,phi_index,phi,phi_over_pi,strict_raw_all_T,drift_raw_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,adv_v_T_last
fixed,0,0.0,0.0,1,0,1500,-0.04635784342379527,-0.18037712902641098,-0.012840191904881717,0.033517651518913553
fixed,1,0.08726646259971647,0.027777777777777776,1,0,1500,-0.04638516066420255,-0.17642033766883186,-0.0031782050460342458,0.0432069556181683
fixed,2,0.17453292519943295,0.05555555555555555,1,1,1500,-0.046533671750688906,-0.16888967998104126,0.00648631997677531,0.053019991727464216
fixed,3,0.2617993877991494,0.08333333333333333,1,1,1500,-0.046821890498227894,-0.1599182230146492,0.017156484563075343,0.06397837506130324
fixed,4,0.3490658503988659,0.1111111111111111,1,1,1500,-0.04725434688227531,-0.14982865537293427,0.028557096128105933,0.07581144301038124
fixed,5,0.4363323129985824,0.1388888888888889,1,1,1500,-0.04781047793318295,-0.1386160462460715,0.04052812880147433,0.08833860673465728
fixed,6,0.5235987755982988,0.16666666666666666,1,1,1500,-0.04847008459201126,-0.1262014381378,0.053393873291921905,0.10186395788393317
fixed,7,0.6108652381980153,0.19444444444444445,1,1,1500,-0.049211497277769516,-0.11246738413226286,0.06637337791822442,0.11558487519599395
fixed,8,0.6981317007977318,0.2222222222222222,1,1,1500,-0.05001558860599071,-0.09723040066214718,0.07897193161391516,0.12898752021990587
fixed,9,0.7853981633974483,0.25,1,1,1500,-0.05086486296059363,-0.08011857486220432,0.09084547540965474,0.14171033837024838
fixed,10,0.8726646259971648,0.2777777777777778,1,1,1500,-0.05174446763878253,-0.06197515794441659,0.10175019240154348,0.15349466004032603
fixed,11,0.9599310885968813,0.3055555555555556,1,1,1500,-0.0526413991205566,-0.04773737025387215,0.11154398900095333,0.15928135925482548
fixed,12,1.0471975511965976,0.3333333333333333,1,1,1500,-0.05354415455974783,-0.03760431506429082,0.12009705088000977,0.1577013659443006
fixed,13,1.1344640137963142,0.3611111111111111,1,1,1500,-0.05444246645859459,-0.03040147920465683,0.1272088090855477,0.15761028829020454
fixed,14,1.2217304763960306,0.3888888888888889,1,1,1500,-0.0553268374539362,-0.025152816172534093,0.13253295288349343,0.15768576905602752
fixed,15,1.3089969389957472,0.4166666666666667,1,1,1500,-0.05618808468184286,-0.021251149227402774,0.13548999494010835,0.15674114416751112
fixed,16,1.3962634015954636,0.4444444444444444,1,1,1500,-0.05701690274248628,-0.018290774078180198,0.1352430422976717,0.1535338163758519
fixed,17,1.48352986419518,0.4722222222222222,1,1,1500,-0.057803393892954975,-0.01598536897118081,0.13069381642647715,0.14667918539765795
fixed,18,1.5707963267948966,0.5,1,1,1500,-0.058536499981784146,-0.014156885468555633,0.12070934612954119,0.13486623159809683
fixed,19,1.658062789394613,0.5277777777777778,1,1,1500,-0.05920330761733467,-0.012682409707965707,0.10573842545002632,0.11842083515799202
fixed,20,1.7453292519943295,0.5555555555555556,1,1,1500,-0.059788084210101955,-0.011498175620250373,0.08844245723264832,0.0999406328528987
fixed,21,1.832595714594046,0.5833333333333333,1,1,1500,-0.06027087836722264,-0.01050705695887102,0.0793201643340198,0.08982722129289082
fixed,22,1.9198621771937625,0.6111111111111112,1,1,1500,-0.06062526416234966,-0.009702589542183776,0.08007740864519446,0.08977999818737824
