sequence,p,n_phi_tested,max_abs_diff_exact_v_fit_across_phi,max_abs_diff_exact_w_loc3_across_phi,max_abs_diff_exact_P0bar_across_phi,max_abs_diff_exact_deltaP_late_mean_across_phi
A,1.0,3,3.156592293010898e-17,2.7755575615628914e-17,3.469446951953614e-18,6.418476861114186e-17
B,1.0,3,5.048226645072563e-18,2.220446049250313e-16,8.326672684688674e-17,1.6653345369377348e-16
ABB,1.0,3,1.1745347242223453e-17,1.1102230246251565e-16,2.0816681711721685e-17,5.0306980803327406e-17
